date,reit_ret
1990-03-31,-0.02500327049610862
1990-06-30,0.03525011363647912
1990-09-30,-0.10257578163000647
1990-12-31,0.060263837403573106
1991-03-31,0.25334906167607496
1991-06-30,0.043907188385306606
1991-09-30,0.04961075033549833
1991-12-31,0.04836890600555188
1992-03-31,0.04185177368594428
1992-06-30,0.03950189365568435
1992-09-30,0.04008010658458416
1992-12-31,0.03895999817749751
1993-03-31,0.23308859969531492
1993-06-30,-0.013535524898062978
1993-09-30,0.10143309603723205
1993-12-31,-0.039011108914663084
1994-03-31,0.0395747598610483
1994-06-30,0.02158614910098322
1994-09-30,-0.00821427850038503
1994-12-31,-0.0005148100961148705
1995-03-31,0.021634145334099575
1995-06-30,0.07550302647216411
1995-09-30,0.06105258004951386
1995-12-31,0.05651838878428639
1996-03-31,0.037887974735776764
1996-06-30,0.05286102292461892
1996-09-30,0.07634072703619221
1996-12-31,0.19897099439184696
1997-03-31,0.0027282469145228916
1997-06-30,0.06264582756207049
1997-09-30,0.11754517993749425
1997-12-31,0.014898213000911875
1998-03-31,0.005482622082290112
1998-06-30,-0.041392693074224995
1998-09-30,-0.08806729164815064
1998-12-31,-0.007958235393662583
1999-03-31,-0.055271773665908186
1999-06-30,0.12329596502206686
1999-09-30,-0.07102705525579533
1999-12-31,-0.018471410543990707
2000-03-31,0.04021704268913062
2000-06-30,0.12243947730036808
2000-09-30,0.08060418567078664
2000-12-31,0.035265311334108596
2001-03-31,0.04181349123091649
2001-06-30,0.12337367386303333
2001-09-30,-0.021196859479434504
2001-12-31,0.07567340328832395
2002-03-31,0.10155137702806649
2002-06-30,0.0657582892972548
2002-09-30,-0.07961990984244727
2002-12-31,0.011993043253228919
2003-03-31,0.012050536724830474
2003-06-30,0.16320289646554964
2003-09-30,0.09720758120845052
2003-12-31,0.12008603730659084
2004-03-31,0.14591931301894756
2004-06-30,-0.06245402534510924
2004-09-30,0.0926172168087609
2004-12-31,0.14810123796159558
2005-03-31,-0.07203536959541368
2005-06-30,0.14135474971327877
2005-09-30,0.018183650303359
2005-12-31,0.025549723245317457
2006-03-31,0.14403654444068925
2006-06-30,-0.014144014355562895
2006-09-30,0.08961731566720665
2006-12-31,0.10719151657210935
2007-03-31,0.03731222968296244
2007-06-30,-0.09031160622106604
2007-09-30,0.020235076604906643
2007-12-31,-0.09526134235264583
2008-03-31,0.011680248991879028
2008-06-30,-0.03845414562783267
2008-09-30,0.07708143358649511
2008-12-31,-0.29881102548855354
2009-03-31,-0.25386730390748635
2009-06-30,0.33735430469306604
2009-09-30,0.31361456203023064
2009-12-31,0.09255652116319402
2010-03-31,0.10427478378352917
2010-06-30,-0.033269121821711156
2010-09-30,0.12309146573177965
2010-12-31,0.10277783904491922
2011-03-31,0.07468719536293178
2011-06-30,0.030377215497739973
2011-09-30,-0.13163124824231887
2011-12-31,0.15913042565741864
2012-03-31,0.10616312878292256
2012-06-30,0.05470330311758631
2012-09-30,0.02971400265987767
2012-12-31,0.025240709829712937
2013-03-31,0.09880228329924678
2013-06-30,-0.034480002270378285
2013-09-30,-0.020541895830417878
2013-12-31,0.008254613728482019
2014-03-31,0.08531090979616485
2014-06-30,0.07047673806947485
2014-09-30,-0.02102553786651762
2014-12-31,0.12399251270831235
2015-03-31,0.044327874852479576
2015-06-30,-0.08330406370212617
2015-09-30,0.01662183279565399
2015-12-31,0.07964246561404353
2016-03-31,0.06922245293031293
2016-06-30,0.08390339608836705
2016-09-30,-0.004853145717508056
2016-12-31,-0.025478622837457277
2017-03-31,0.040602304764354
2017-06-30,0.03330310259462266
2017-09-30,0.017167463665133553
2017-12-31,0.03025309939634413
2018-03-31,-0.057111140777798886
2018-06-30,0.08253698029088485
2018-09-30,0.01146608071587707
2018-12-31,-0.04842177438523643
2019-03-31,0.17456688851160207
2019-06-30,0.02730350109569435
2019-09-30,0.0808871529567512
2019-12-31,0.012114423956013143
2020-03-31,-0.1875572631276513
2020-06-30,0.16333686890561272
2020-09-30,0.03113342904943095
2020-12-31,0.10515804727260014
2021-03-31,0.09071871090370198
2021-06-30,0.12515037152454456
2021-09-30,0.0077119698426200145
2021-12-31,0.1655958551862271
2022-03-31,-0.0462332554961119
2022-06-30,-0.13203241340148097
2022-09-30,-0.10402754159470418
2022-12-31,0.06368371668365835
2023-03-31,0.022271830003423254
2023-06-30,0.019385245417045782
2023-09-30,-0.07431093235784814
2023-12-31,0.19411189290497388
2024-03-31,-0.006035351015028723
2024-06-30,-0.003351737398823995
2024-09-30,0.1749169734117373
2024-12-31,-0.07172948447789274
