Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1995:Q1,Next9,10033612,2699051,2217362,481689,7334560,970245,194605,408214,300241,107972,86930,38613,48317,1274472,125046,277384,475839,2427462,1024927,69439,690650,686578,567133,74623,1636,43186,4072,9342961,8855141,
1995:Q1,Next40,11474202,5099342,4078138,1021204,6374860,1154076,91757,229032,160111,68922,35633,13775,21858,619482,264111,238947,486208,2496279,612813,146521,1910488,1902000,1468881,371665,4545,56910,8488,9563713,39389184,
1995:Q1,Bottom50,2595438,1857046,1262167,594880,738392,164942,7167,24916,22060,2856,4713,2002,2711,60159,70907,13901,115044,150670,58514,67459,1657457,1655166,1012927,566758,3686,71795,2290,937981,49235046,
1995:Q2,TopPt1,3082513,412314,231752,180562,2670199,173186,72920,510802,339531,171271,319868,301549,18319,764860,27310,2043,18995,13138,759530,7547,31100,30444,16573,1058,954,11859,656,3051414,98423,
1995:Q2,RemainingTop1,4442957,788258,609502,178756,3654698,326207,132011,397531,282160,115370,52388,29608,22779,1299376,64457,20408,163369,139234,1038891,20826,170601,168600,130044,10727,2179,25649,2002,4272355,885664,
1995:Q2,Next9,10104836,2673955,2177279,496676,7430882,973621,204590,394519,286733,107786,80863,34476,46387,1348777,124634,295005,493865,2426252,1018844,69911,686612,682659,563044,77280,1797,40538,3953,9418224,8882369,
1995:Q2,Next40,11690523,5173180,4147407,1025772,6517344,1165737,94022,219895,160172,59723,34616,12768,21848,640134,270972,245246,513928,2569384,613804,149608,1938168,1929585,1480734,385460,5758,57632,8583,9752356,39495402,
1995:Q2,Bottom50,2706927,1944933,1342368,602565,761994,167324,7629,25069,22586,2484,4832,2005,2827,63662,73272,13978,122867,154035,59690,69634,1720026,1717687,1048440,588601,4474,76172,2339,986901,49371421,
1995:Q3,TopPt1,3222726,403216,223821,179396,2819509,180864,75884,534390,344583,189807,330993,312627,18365,842685,28837,2084,20415,12570,783133,7654,31743,31045,16318,1397,1050,12280,698,3190982,99023,13228498
1995:Q3,RemainingTop1,4601176,771164,590206,180958,3830012,331160,136993,400866,279852,121014,48794,26334,22460,1404432,67925,20236,173728,153511,1071282,21084,174531,172402,132999,10915,2563,25925,2128,4426645,887866,2741679
1995:Q3,Next9,10153529,2618559,2113354,505205,7534970,963354,209196,384364,274537,109827,74565,30126,44439,1446674,121964,306356,519578,2421308,1018760,68852,692985,689151,564573,81289,1874,41416,3833,9460545,8909663,624644
1995:Q3,Next40,11762447,5099704,4070592,1029112,6662743,1160931,94025,223602,160667,62934,33522,11680,21842,667593,276031,249635,550798,2641600,615980,149027,1975320,1966642,1495583,403443,6992,60624,8678,9787127,39603848,83069
1995:Q3,Bottom50,2808554,2025517,1415165,610352,783037,166970,7869,25768,23134,2634,4948,2002,2946,67992,75239,14027,131916,157360,60775,70172,1784551,1782162,1080864,612555,5219,83524,2389,1024003,49510034,
1995:Q4,TopPt1,3331800,404906,226613,178293,2926893,180403,77822,548862,341994,206869,334943,317603,17340,922699,28034,2107,22080,13795,788426,7723,34930,34249,16448,2083,1536,14182,681,3296870,99680,
1995:Q4,RemainingTop1,4724394,786874,605354,181520,3937520,330677,142371,415663,282264,133399,52479,29845,22635,1472343,66473,21721,184079,162008,1068510,21196,179887,177776,136191,11760,3396,26429,2111,4544507,890117,
1995:Q4,Next9,10445883,2657813,2145385,512428,7788070,961909,219675,394610,277280,117330,83762,40232,43531,1570778,127919,312080,533415,2465831,1048024,70066,714042,710057,571953,91820,2761,43523,3985,9731841,8936980,
1995:Q4,Next40,12000021,5151690,4107250,1044440,6848331,1179608,101884,238876,159279,79597,35998,14161,21837,726000,282261,251141,589970,2663947,627906,150741,2020768,2012002,1516536,426384,9985,59096,8766,9979253,39714657,
1995:Q4,Bottom50,2820511,2017271,1404646,612625,803240,170260,7989,25729,22284,3446,4890,1999,2891,73934,75518,14043,135935,160778,63665,70499,1802831,1800452,1079379,636113,6752,78208,2378,1017680,49650966,
1996:Q1,TopPt1,3368516,409331,228264,181067,2959185,185046,86899,529598,320497,209101,333027,316738,16289,961639,26610,2121,23752,15072,787696,7725,36956,36295,16755,1780,1246,16514,662,3331559,100385,
1996:Q1,RemainingTop1,4793025,805354,623622,181731,3987672,335978,153492,406541,272100,134441,58358,35558,22800,1497776,63794,23213,194243,170215,1062878,21184,184814,182725,139937,11555,2118,29115,2088,4608212,892418,
1996:Q1,Next9,10681273,2709180,2190671,518509,7972093,971848,239072,391559,268891,122668,88256,45692,42564,1636291,132056,318211,545469,2507532,1071058,70742,737555,733421,585149,92021,2017,54234,4134,9943718,8964281,
1996:Q1,Next40,12231403,5226287,4162734,1063552,7005116,1211750,113589,233625,151901,81724,36993,15177,21816,767067,287024,252810,628355,2684200,638540,151162,2046251,2037398,1548185,419085,7082,63047,8852,10185152,39827644,
