Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2022:Q2,pct80to99,72907861,21750513,19128556,2621956,51157348,6778062,1586584,1414017,1414017,0,580791,535647,45144,16839486,960136,1522651,5874370,8402167,6704165,494919,7743577,7723359,5697916,1471078,91424,462941,20218,65164283,24904070,,
2022:Q2,pct60to80,23359203,9900229,8276749,1623481,13458973,2128975,318423,276489,276489,0,132944,127083,5861,2303073,284040,566520,1380400,4445179,1304648,318282,4292869,4286824,2972886,1212976,50297,50665,6046,19066333,26213223,,
2022:Q2,pct40to60,14535888,6806153,5650441,1155712,7729735,1425562,175080,156897,156897,0,39055,27095,11960,1329543,175689,171612,541821,2342781,1106071,265624,2621557,2617872,1644979,883655,34125,55112,3686,11914330,26218795,,
2022:Q2,pct20to40,7697705,4022098,3290587,731512,3675607,932820,82821,84360,84360,0,1619,0,1619,367597,67374,68131,171037,1360661,353404,185784,1346105,1344676,719757,590712,26659,7548,1429,6351600,26208794,,
2022:Q2,pct00to20,4983083,2758260,2252791,505468,2224823,463826,47941,50004,50004,0,24451,22858,1593,638456,52186,12564,78294,221893,535117,100091,767357,766264,361798,363082,31131,10253,1093,4215726,26213110,,
2022:Q3,pct99to100,31522362,6178458,5395607,782851,25343904,3004226,483141,1002414,1002414,0,439982,429003,10979,11904123,409567,76789,1013000,579326,6328000,103337,1375913,1369337,929839,149948,101641,187910,6576,30146449,1314011,1197734,9455046656
2022:Q3,pct80to99,71293968,20999705,18317067,2682638,50294264,6677639,1644788,1657314,1657314,0,555513,510750,44763,16188582,974557,1487119,5668521,8254287,6682630,503314,7859020,7838455,5762923,1514518,95425,465589,20565,63434948,24948864,151328,1197734
2022:Q3,pct60to80,22909971,9778908,8120230,1658677,13131063,2111170,326219,341873,341873,0,127411,122200,5212,2148653,282550,539062,1291891,4330932,1307906,323395,4367059,4361029,3025715,1233533,51326,50456,6029,18542912,26259705,90796,151328
2022:Q3,pct40to60,14528055,6851123,5669396,1181727,7676932,1408576,181483,189930,189930,0,42194,30141,12052,1312533,177680,150598,503546,2304354,1134314,271724,2678299,2674543,1690426,892061,34840,57215,3757,11849756,26267160,54444,90796
2022:Q3,pct20to40,7716577,4011552,3264932,746620,3705025,928203,85536,95850,95850,0,3577,2502,1075,346017,64606,68455,163199,1398528,361091,189963,1363940,1362573,729455,598967,27196,6955,1367,6352637,26255828,31247,54417
