Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3549714,801362,535482,265880,2748352,318265,98059,396865,305383,91482,71380,64729,6652,751191,42018,11265,95128,106980,840175,17027,151768,150032,99228,27117,1333,22354,1736,3397946,932085,244112,269339680
1989:Q3,pct80to99,10452052,3736847,3036663,700183,6715206,1223795,172541,398456,367889,30567,128004,47779,80225,926531,174315,201804,412070,1556892,1424002,96796,1484790,1476990,1149679,250302,1680,75329,7801,8967262,17675318,52161,244112
1989:Q3,pct60to80,4217051,1839535,1408279,431257,2377516,529881,58029,130248,98270,31977,26458,13811,12647,227156,76656,67856,82485,847327,281268,50152,838755,835324,565700,244684,386,24554,3431,3378296,18601249,32302,52161
1989:Q3,pct40to60,2972791,1250833,999838,250995,1721958,453567,19935,79930,64065,15865,24564,7577,16987,120511,33775,40254,39305,628717,247878,33521,425094,423581,258913,159522,730,4417,1512,2547697,18605233,20512,32291
1989:Q3,pct20to40,1748750,841808,669590,172218,906942,317186,11911,32903,31499,1405,38974,34266,4708,41505,21362,6687,49067,238036,128551,20759,189179,188223,113386,69864,249,4724,956,1559571,18612879,10366,20458
1989:Q3,pct00to20,652405,318964,243317,75647,333442,113774,2168,8077,6817,1260,4486,701,3785,23550,12066,966,7137,104377,47747,9093,63188,62648,24249,32719,154,5526,540,589218,18593339,0,10361
1989:Q4,pct99to100,3634745,818412,548541,269872,2816333,324880,104260,401517,308844,92673,79049,70696,8353,762027,42297,11948,100748,113680,858635,17291,160512,158503,105163,27248,1265,24826,2009,3474233,934371,,
1989:Q4,pct80to99,10639321,3790435,3084009,706426,6848886,1242357,179735,406281,371167,35113,133926,55335,78591,958898,179373,207297,429923,1590640,1422259,98198,1509629,1501565,1170413,257038,1634,72479,8064,9129692,17723083,,
1989:Q4,pct60to80,4304003,1863357,1427403,435954,2440646,535694,57360,131514,99266,32248,27977,15238,12739,233610,78164,72300,90472,872730,289615,51210,855916,852454,577288,250780,373,24012,3462,3448087,18647836,,
1989:Q4,pct40to60,3015306,1263102,1007769,255333,1752203,461959,21134,77862,61965,15897,28319,9606,18714,126933,36648,40814,40247,632243,251681,34364,436574,435011,265095,164158,703,5054,1563,2578732,18654257,,
1989:Q4,pct20to40,1772684,846474,668480,177994,926209,319923,12449,32750,30982,1768,40174,34892,5282,45894,22968,7604,47009,250627,125365,21448,198271,197263,115837,76305,263,4858,1008,1574413,18660668,,
1989:Q4,pct00to20,679468,338120,258116,80004,341349,115235,2299,8016,6571,1445,5058,897,4162,24742,12182,1078,6796,107147,49271,9524,66643,66099,26784,33756,150,5409,544,612825,18642024,,
1990:Q1,pct99to100,3615289,821141,555907,265234,2794149,321391,114237,398569,309135,89433,93660,83522,10139,697595,41365,12631,102804,119713,874375,17809,169203,167421,113558,24920,1532,27411,1782,3446086,936661,,
1990:Q1,pct80to99,10648403,3789785,3066426,723360,6858618,1239788,193256,408263,371987,36276,146265,69371,76893,911032,181919,212725,430785,1616857,1416904,100825,1534911,1527016,1200355,250414,2042,74206,7895,9113492,17770491,,
1990:Q1,pct60to80,4349600,1877432,1432347,445085,2472169,536664,57537,129063,98764,30299,31488,18626,12861,225058,79038,76721,91673,894313,297533,53082,864096,860681,594639,242035,461,23546,3415,3485504,18694579,,
1990:Q1,pct40to60,3042651,1276706,1009419,267288,1765945,465470,22806,73834,59150,14684,32327,11727,20600,127518,39075,41356,38425,634363,254799,35973,446303,444666,276182,161789,871,5824,1637,2596348,18703048,,
1990:Q1,pct20to40,1801279,860951,677998,182953,940329,320477,13399,32204,30267,1937,41411,35456,5955,48043,24544,8519,44008,263019,122038,22666,202227,201183,119706,76244,361,4873,1044,1599053,18708356,,
1990:Q1,pct00to20,701155,353952,270889,83064,347202,116680,2424,7332,5803,1529,6093,1491,4602,24265,12052,1190,6506,109678,50747,10235,73647,73123,30960,36918,191,5054,523,627508,18690634,,
1990:Q2,pct99to100,3680972,833037,564225,268812,2847934,318603,111277,411684,321535,90150,95887,83915,11972,712183,40840,13511,105902,126040,894140,17867,178575,176841,121487,24196,1218,29940,1734,3502397,938954,,
1990:Q2,pct80to99,10790055,3837123,3109139,727984,6952932,1238685,184787,423306,382064,41241,148432,73564,74867,948711,185332,224872,436231,1646129,1415218,101229,1557645,1549765,1224122,251036,1668,72940,7880,9232410,17817579,,
1990:Q2,pct60to80,4420805,1893521,1444700,448821,2527284,537992,54524,134274,103964,30310,31485,18584,12901,232539,80134,84209,94789,917521,306333,53484,875500,872104,607181,241522,374,23028,3396,3545306,18741493,,
1990:Q2,pct40to60,3068466,1277099,1005977,271121,1791367,469356,22872,73286,58733,14553,36753,14392,22360,134591,41670,43470,37277,637037,258860,36196,457560,455858,285155,163488,703,6512,1703,2610906,18751642,,
1990:Q2,pct20to40,1821630,867100,678619,188481,954530,321188,12922,32549,30205,2344,40913,34416,6497,52811,26141,9750,41113,275563,118652,22927,209497,208411,123089,80039,318,4965,1085,1612134,18755973,,
1990:Q2,pct00to20,725772,369668,282500,87168,356104,118137,2571,8722,6987,1735,6419,1462,4957,25603,12004,1357,6185,112317,52347,10442,78835,78323,34884,38432,155,4853,512,646937,18739196,,
1990:Q3,pct99to100,3583510,839557,578819,260738,2743953,318215,120137,425807,337206,88601,99673,85790,13883,554751,39897,14052,106026,131893,915364,18138,186253,184593,127995,23720,516,32362,1660,3397256,941252,,
1990:Q3,pct80to99,10707234,3850406,3110159,740247,6856829,1242600,196266,438677,394199,44478,152325,79591,72734,799372,187892,225257,427452,1669924,1414402,102662,1573373,1565530,1245157,254024,725,65624,7843,9133861,17864388,,
1990:Q3,pct60to80,4456177,1917125,1462602,454523,2539052,540489,54315,139982,110816,29165,31918,18968,12951,204862,81015,86342,92067,937978,315513,54570,888016,884643,618570,243510,162,22402,3372,3568162,18788591,,
1990:Q3,pct40to60,3097752,1297883,1016160,281723,1799869,474443,24418,72478,58709,13769,41547,17320,24227,127291,44120,42825,33770,638671,263243,37062,467340,465570,291950,166283,301,7037,1770,2630412,18800074,,
1990:Q3,pct20to40,1849963,886515,695387,191128,963448,322420,13743,32855,30202,2653,40222,33127,7095,51761,27734,10433,37491,287988,115168,23633,217112,215985,125778,84844,148,5215,1127,1632851,18803548,,
1990:Q3,pct00to20,749108,387395,299600,87795,361714,119610,2703,10674,8784,1890,6872,1525,5348,22957,11872,1428,5923,114785,54005,10884,83260,82761,37816,39920,65,4960,499,665848,18787733,,
1990:Q4,pct99to100,3726270,841152,585038,256114,2885118,324245,123894,449540,353892,95648,109609,93761,15848,624563,39017,14741,112448,137956,930714,18392,193056,191212,132791,22892,557,34971,1844,3533214,943556,,
1990:Q4,pct80to99,10883445,3822114,3072628,749486,7061331,1259914,199080,465491,406533,58957,162060,91678,70383,899249,190600,230672,447831,1695823,1406603,104008,1596643,1588614,1263936,256720,813,67145,8030,9286802,17910958,,
1990:Q4,pct60to80,4541322,1919937,1460693,459244,2621385,546064,52859,151041,118295,32746,34109,21154,12955,224252,81937,90775,101499,959573,323674,55601,899999,896609,629523,244981,179,21926,3389,3641323,18835889,,
1990:Q4,pct40to60,3147021,1309142,1019056,290085,1837879,482680,25329,74219,58579,15640,46372,20320,26053,139660,46607,43356,34914,640682,266184,37876,474973,473147,296369,168636,333,7809,1826,2672048,18848380,,
1990:Q4,pct20to40,1874940,892341,697687,194653,982600,325023,14000,33812,30109,3703,38905,31273,7632,58812,29335,11353,35003,300537,111516,24304,223402,222226,127665,89145,180,5236,1177,1651538,18851111,,
1990:Q4,pct00to20,774292,400753,311293,89460,373539,121104,2843,13263,10861,2403,7679,1982,5697,25677,11753,1540,5500,117332,55540,11307,86730,86231,39528,42017,74,4612,498,687563,18836269,,
1991:Q1,pct99to100,3864238,846213,588682,257531,3018025,322975,140616,432836,336206,96630,112023,94206,17817,737522,38156,15322,120989,144017,935112,18457,198178,196450,137762,20211,932,37545,1728,3666060,945867,,
1991:Q1,pct80to99,11100678,3824550,3068152,756398,7276128,1261996,223578,462947,394905,68043,165485,97806,67678,1046020,193367,232450,477905,1721481,1386456,104443,1605471,1597516,1281280,248572,1427,66236,7956,9495207,17957327,,
1991:Q1,pct60to80,4613759,1924820,1460849,463971,2688939,548173,54197,142112,108887,33225,33990,21166,12825,251826,82876,93537,115214,981106,329877,56030,898810,895451,639181,234553,310,21407,3359,3714949,18883401,,
1991:Q1,pct40to60,3178209,1311083,1015132,295952,1867125,487409,27848,68065,52294,15771,51523,23948,27575,155276,49116,43039,37628,642630,266470,38121,476824,474928,300552,165280,578,8519,1896,2701385,18896595,,
1991:Q1,pct20to40,1894682,894444,694095,200349,1000238,326071,15668,33021,28594,4427,36921,29023,7898,67386,30946,12100,32744,313134,107666,24582,224448,223231,129539,88025,347,5320,1217,1670234,18898690,,
1991:Q1,pct00to20,792912,414077,320493,93584,378835,122595,2962,9534,6784,2750,7873,2002,5871,29383,11638,1622,4994,119879,56833,11524,91948,91465,41376,45568,133,4388,483,700964,18884830,,
1991:Q2,pct99to100,3857842,852535,598488,254047,3005307,307751,135564,444100,347404,96696,110641,90752,19889,714011,37775,15978,125205,150286,945439,18557,206498,204934,145532,19004,273,40125,1564,3651344,948186,,
1991:Q2,pct80to99,11128165,3841752,3080035,761717,7286414,1234973,211525,481003,403648,77355,166152,101164,64989,1045234,197159,236716,487397,1749235,1371975,105044,1625671,1617830,1305472,246912,433,65013,7841,9502494,18003536,,
1991:Q2,pct60to80,4662683,1936885,1470172,466714,2725798,543660,50760,146853,113553,33300,32778,20014,12763,252158,84076,97445,120382,1003768,337346,56572,907973,904651,652190,231487,94,20880,3322,3754710,18931142,,
1991:Q2,pct40to60,3201053,1320144,1017827,302317,1880909,485398,27682,66654,50982,15672,57557,28197,29361,159979,51820,43300,36932,644959,268157,38471,486484,484516,309412,165710,172,9222,1968,2714569,18944754,,
1991:Q2,pct20to40,1913857,905268,701511,203757,1008589,324162,14963,33430,28246,5184,34971,26626,8344,71458,32579,12966,29508,325852,103768,24933,230288,229033,132882,90626,113,5412,1256,1683568,18946316,,
1991:Q2,pct00to20,816413,429925,334779,95146,386488,124074,3121,10863,7753,3110,7937,1775,6161,29977,11620,1725,4587,122503,58301,11780,97413,96947,45163,47567,39,4178,465,719000,18933439,,
1991:Q3,pct99to100,3931830,855071,610752,244318,3076759,299842,135948,453451,362839,90611,114827,92874,21953,760754,36432,16610,132238,156508,951492,18658,215398,213998,152441,18470,214,42873,1400,3716432,950514,,
1991:Q3,pct80to99,11249679,3850220,3077327,772893,7399459,1223225,208587,491061,415059,76002,172356,110361,61995,1121090,198956,240106,509895,1776256,1352273,105654,1639299,1631574,1313191,245366,359,72657,7726,9610380,18049624,,
1991:Q3,pct60to80,4740864,1956246,1484685,471561,2784617,542652,48497,149635,120347,29288,33121,20552,12569,266370,84774,100950,131224,1026115,344158,57122,904899,901614,652084,228936,77,20518,3284,3835965,18979127,,
1991:Q3,pct40to60,3241494,1338699,1025446,313253,1902795,486971,28183,63284,50100,13183,63388,32559,30829,170325,54173,43357,38357,647135,268796,38827,492457,490417,313115,166994,140,10168,2040,2749037,18992894,,
1991:Q3,pct20to40,1946458,926498,720376,206122,1019960,323817,14849,33183,27954,5229,31836,23324,8512,78015,34191,13790,26650,338604,99737,25289,236161,234867,135093,94395,102,5277,1294,1710297,18994016,,
1991:Q3,pct00to20,843185,447131,351803,95328,396053,125575,3269,12647,9499,3148,8209,1938,6271,32198,11407,1821,4078,125112,59698,12039,100918,100471,48580,48339,32,3520,448,742266,18982121,,
1991:Q4,pct99to100,4129239,862301,622220,240081,3266938,298492,138541,456855,369593,87262,124969,101061,23908,921683,35594,17260,140376,162805,951491,18871,225890,224608,160345,18227,389,45648,1282,3903349,952851,,
1991:Q4,pct80to99,11520120,3861780,3084188,777592,7658340,1225195,209313,500541,420411,80130,184426,125843,58584,1319365,201832,244080,537424,1803897,1325469,106799,1670893,1663244,1333711,247826,698,81009,7649,9849227,18095631,,
1991:Q4,pct60to80,4842175,1971682,1497832,473850,2870493,544800,46693,149960,122884,27076,35127,23004,12123,302161,85747,104727,144400,1048835,350014,58028,915900,912647,661794,230528,146,20178,3253,3926274,19027370,,
1991:Q4,pct40to60,3287975,1352678,1032903,319775,1935297,491778,28962,59444,47713,11731,68361,36766,31595,188960,56732,43547,40613,649415,267965,39517,504679,502569,321168,169997,267,11136,2110,2783296,19041049,,
1991:Q4,pct20to40,1971650,936681,727228,209453,1034968,324879,14974,32968,27317,5651,26712,18605,8107,88241,35826,14644,23851,351431,95565,25877,244708,243373,138335,99695,216,5127,1335,1726942,19041822,,
1991:Q4,pct00to20,869912,462910,366214,96695,407002,127102,3415,13060,9702,3358,8578,2571,6007,36954,11297,1921,3514,127750,60989,12421,105159,104726,52527,49308,64,2828,432,764753,19030901,,
1992:Q1,pct99to100,4084346,871071,631115,239957,3213275,262290,147226,466604,380450,86155,115864,89943,25921,880187,34807,17844,143038,170506,955820,19088,236062,234864,169616,16643,427,48178,1198,3848284,955200,,
1992:Q1,pct80to99,11509146,3886878,3107529,779349,7622268,1154265,220095,518638,428370,90268,180391,125221,55169,1301644,204833,245919,538709,1847272,1302540,107963,1669319,1661715,1346645,238564,827,75679,7604,9839827,18141596,,
1992:Q1,pct60to80,4882782,1985823,1510462,475361,2896959,530260,46107,153903,127472,26431,31200,19495,11705,299457,86754,107511,146333,1079630,356854,58950,906400,903172,663794,219642,170,19566,3228,3976381,19075887,,
1992:Q1,pct40to60,3299899,1360191,1036189,324002,1939708,479540,30512,56916,45742,11174,75775,43294,32480,192922,59324,43244,38405,654697,268151,40221,510646,508466,328777,167643,310,11737,2179,2789253,19089255,,
1992:Q1,pct20to40,1981539,943158,729109,214049,1038381,318478,15755,33240,26736,6504,23353,15577,7776,92220,37471,15391,19918,364760,91319,26476,249031,247655,141817,100235,279,5324,1377,1732507,19089761,,
1992:Q1,pct00to20,893466,479629,380142,99486,413838,128535,3557,14413,10648,3765,7626,1834,5792,37256,11198,2004,3111,130910,62422,12808,111570,111151,57627,50626,77,2822,419,781897,19079802,,
1992:Q2,pct99to100,4056801,876289,638373,237916,3180512,252304,142873,457090,373760,83330,116412,88446,27965,863821,33363,18536,147717,165397,963658,19342,246158,245023,177559,16065,503,50896,1135,3810644,957560,,
1992:Q2,pct80to99,11583674,3907897,3123197,784700,7675777,1138195,209280,522976,424912,98064,186023,134331,51692,1311330,206480,251115,549271,1909239,1282565,109304,1682108,1674533,1357520,235991,1069,79952,7576,9901566,18187559,,
1992:Q2,pct60to80,4919292,1999348,1520739,478610,2919944,528311,42869,147960,123289,24671,30260,18987,11273,301612,87420,111864,152366,1092772,364517,59990,903766,900560,665222,215979,215,19145,3206,4015526,19124691,,
1992:Q2,pct40to60,3331771,1367486,1036854,330632,1964285,480173,30419,51414,41454,9960,82907,49550,33357,198843,61681,43714,37712,667235,269151,41035,518518,516270,334489,168791,392,12599,2248,2813252,19137548,,
1992:Q2,pct20to40,2001481,953623,734711,218912,1047858,317708,15129,32948,25740,7208,18060,10641,7419,97100,39105,16308,16219,381148,86981,27151,255953,254533,144662,104198,394,5279,1420,1745529,19137863,,
1992:Q2,pct00to20,920052,496631,394180,102450,423422,130055,3711,12478,8373,4105,7378,1818,5560,38137,10965,2115,2629,138742,63974,13237,115940,115534,61791,51308,101,2334,406,804112,19128851,,
1992:Q3,pct99to100,4108634,876870,652654,224217,3231764,247274,141770,464383,386633,77750,113719,83672,30047,899500,33115,19200,154615,160079,978498,19609,254870,253776,184618,15356,273,53528,1094,3853764,959934,225991,213796720
1992:Q3,pct80to99,11738539,3914647,3117238,797410,7823892,1132556,203868,533151,434206,98945,190202,142044,48158,1377032,210655,255352,570193,1970977,1269194,110712,1704170,1696603,1379622,237484,645,78851,7567,10034369,18233559,54012,225991
1992:Q3,pct60to80,5000887,2032624,1548984,483640,2968264,528785,40298,149629,128832,20797,28293,17460,10833,313592,88728,115775,163034,1105437,373615,61078,915107,911919,676867,216311,127,18613,3188,4085781,19173797,34261,54012
1992:Q3,pct40to60,3404860,1403496,1059616,343879,2001364,483298,30730,46975,39479,7496,91233,56987,34246,208568,64507,43960,38761,679644,271795,41892,528935,526619,342032,171038,229,13320,2316,2875925,19185963,20498,34261
1992:Q3,pct20to40,2050972,990561,769775,220785,1060411,318027,14854,32567,25136,7431,12392,5341,7051,103702,40783,17178,12800,397693,82558,27857,263525,262061,147652,108781,259,5370,1464,1787447,19186158,10872,20498
1992:Q3,pct00to20,955222,517514,415721,101793,437708,131610,3860,13850,9618,4232,6902,1581,5321,40183,10975,2218,2056,146650,65721,13682,120618,120224,65088,52962,60,2113,394,834603,19178070,0,10864
1992:Q4,pct99to100,4306870,896244,669336,226908,3410625,265331,134593,474534,389562,84973,124852,95086,29766,1048867,36909,19738,158314,159078,968240,20170,257004,255830,186210,15329,400,53891,1175,4049865,962322,,
1992:Q4,pct80to99,12008509,3950747,3146136,804611,8057762,1141288,195615,528151,429801,98350,186575,139122,47453,1538394,210763,267719,583134,2029473,1265091,111557,1725461,1717965,1392591,247257,918,77199,7496,10283048,18279644,,
1992:Q4,pct60to80,5098470,2060409,1569276,491132,3038061,531795,39787,144830,124779,20051,30375,18737,11638,349341,92296,119878,167517,1127830,372153,62260,936687,933420,692475,221568,202,19174,3267,4161783,19223226,,
1992:Q4,pct40to60,3448611,1418413,1072371,346041,2030199,482320,29984,48119,39922,8197,86069,53604,32465,219751,64490,47569,44490,700245,264632,42532,539877,537579,349023,175141,347,13067,2298,2908735,19234543,,
1992:Q4,pct20to40,2086573,995118,773018,222101,1091455,321074,15817,34681,27084,7597,11712,4806,6906,112228,41427,17100,16751,405638,86586,28441,273297,271828,153690,110967,353,6818,1469,1813277,19234681,,
1992:Q4,pct00to20,980991,524740,422065,102675,456250,132221,4467,13687,9540,4147,6771,1550,5221,43764,11456,2450,3888,149955,73575,14016,124250,123844,66914,54507,89,2334,406,856741,19227491,,
1993:Q1,pct99to100,4409733,913206,666572,246635,3496527,259518,134999,482532,384217,98315,142413,112912,29501,1097414,40613,20133,164837,156029,977361,20677,255985,254715,186332,13327,681,54375,1270,4153748,964728,,
1993:Q1,pct80to99,12156344,3982617,3186716,795901,8173727,1099830,199843,535544,420310,115234,190533,143770,46763,1593000,210644,275573,609420,2065622,1281582,112135,1728061,1720625,1392397,244184,1527,82517,7436,10428283,18325885,,
1993:Q1,pct60to80,5148637,2071081,1578075,493006,3077556,523297,40791,140710,117025,23686,34764,22293,12471,366503,95825,121862,177723,1138723,374088,63269,934892,931542,698432,212857,372,19881,3350,4213745,19273017,,
1993:Q1,pct40to60,3446215,1401887,1065617,336269,2044328,469522,30226,51325,39445,11880,80768,50039,30729,224067,64431,50134,52313,716633,261903,43006,539758,537479,351159,172708,615,12998,2279,2906457,19283359,,
1993:Q1,pct20to40,2097619,982579,755626,226953,1115040,318986,17622,37807,28747,9060,10103,3299,6804,117777,42071,16793,21108,413044,90816,28912,275382,273907,158496,106750,564,8097,1474,1822237,19283494,,
1993:Q1,pct00to20,997355,525349,417499,107850,472006,132749,5087,12637,8062,4575,7243,2094,5149,45173,11917,2644,5583,152562,82121,14290,128108,127690,67889,57437,157,2207,418,869246,19277162,,
1993:Q2,pct99to100,4472028,925579,678187,247391,3546449,268846,129719,479722,370650,109071,158153,128921,29232,1117641,44574,20541,167891,152952,985262,21149,257271,255903,188030,12497,640,54737,1368,4214757,967155,,
1993:Q2,pct80to99,12274887,4024535,3216806,807729,8250352,1089680,194709,528335,405533,122803,194488,148423,46065,1617758,211022,283759,619135,2102002,1296936,112528,1749331,1741954,1409286,250607,1384,80677,7377,10525556,18372364,,
1993:Q2,pct60to80,5214581,2109848,1607227,502621,3104733,522016,40659,131099,106155,24944,38724,25417,13307,378472,99500,124005,180670,1149677,375752,64160,955847,952413,717279,214315,372,20447,3434,4258733,19323214,,
1993:Q2,pct40to60,3477288,1418684,1077472,341212,2058604,464053,29726,52418,38056,14362,76286,47325,28961,226507,64463,52773,57182,733132,258699,43365,549527,547268,359235,174707,591,12735,2259,2927760,19332491,,
1993:Q2,pct20to40,2141289,1002315,773754,228561,1138973,320155,18794,39821,29945,9877,8764,2075,6689,122506,42726,16505,24741,420495,95161,29303,282985,281505,164793,106653,485,9573,1480,1858304,19332668,,
1993:Q2,pct00to20,1021578,535572,426640,108932,486006,133347,5697,10119,5435,4685,7615,2546,5069,45979,12430,2840,7355,155185,90917,14522,132621,132190,69722,59884,146,2439,431,888958,19327141,,
1993:Q3,pct99to100,4582063,936378,690284,246094,3645685,281313,126375,479021,357981,121040,162812,133852,28960,1184964,48665,21021,171624,149946,998243,21700,258023,256557,188424,12101,761,55270,1466,4324040,969607,,
1993:Q3,pct80to99,12460387,4066385,3245365,821021,8394001,1085674,192783,525035,391213,133822,189730,144370,45360,1692245,211631,294140,632027,2139704,1317736,113296,1784738,1777422,1425748,261248,1598,88828,7316,10675649,18419161,,
1993:Q3,pct60to80,5296144,2150743,1638201,512542,3145401,522160,40919,123538,96460,27079,39447,25297,14150,399189,103252,127173,184951,1161252,378217,65303,982724,979206,737256,220262,471,21217,3518,4313420,19373862,,
1993:Q3,pct40to60,3517659,1435180,1087778,347403,2082478,459984,29479,54515,36768,17747,73037,45866,27170,232107,64536,55919,62472,749949,256520,43960,560145,557905,365878,178565,724,12738,2240,2957513,19382017,,
1993:Q3,pct20to40,2194305,1027108,797449,229659,1167197,321987,20193,41895,30921,10975,8832,2264,6568,128653,43388,16326,28420,428020,99624,29859,291631,290146,170611,108208,532,10795,1486,1902674,19382270,,
1993:Q3,pct00to20,1047586,546292,436943,109349,501295,133963,6314,8102,3245,4857,7248,2264,4985,47797,12967,3055,9073,157858,100076,14841,135689,135246,70615,62284,175,2172,443,911897,19377483,,
1993:Q4,pct99to100,4714092,951828,700135,251693,3762264,290151,126998,498022,362889,135133,170492,141802,28689,1252107,52802,21343,174098,146647,1007485,22120,260584,259018,189389,13080,792,55758,1566,4453508,972087,,
1993:Q4,pct80to99,12657878,4113545,3281690,831855,8544333,1073784,197487,544307,389007,155300,188516,143862,44654,1766536,212297,299501,638978,2174738,1334772,113416,1818195,1810940,1437406,277723,1605,94206,7255,10839683,18466355,,
1993:Q4,pct60to80,5380245,2191296,1668844,522453,3188949,520519,42001,126192,94204,31988,41233,26229,15005,419920,107038,128003,186654,1171393,379974,66022,1011087,1007484,752540,232491,518,21935,3603,4369157,19425006,,
1993:Q4,pct40to60,3556505,1451432,1100707,350725,2105074,454041,29756,60923,37412,23511,69734,44365,25369,237696,64620,57894,66672,766330,253256,44151,573640,571420,371907,186077,771,12665,2220,2982865,19432016,,
1993:Q4,pct20to40,2239503,1043985,810885,233100,1195518,323042,22085,45489,32623,12867,8465,2016,6449,134818,44055,15902,31801,435521,104205,30135,304214,302723,176423,113699,502,12098,1491,1935289,19432371,,
1993:Q4,pct00to20,1076519,556904,444481,112423,519615,134578,6956,8870,3612,5258,7146,2243,4902,49611,13512,3225,10795,160457,109451,15013,137792,137336,72012,63098,182,2044,456,938727,19428243,,
1994:Q1,pct99to100,4723983,965446,700708,264738,3758536,295583,128945,535527,389321,146205,177809,149376,28433,1177630,56125,21641,175059,143410,1024175,22633,259137,257464,188810,11406,1113,56135,1674,4464845,974600,,
1994:Q1,pct80to99,12709864,4172077,3339708,832369,8537787,1054542,204479,560707,400518,160189,187689,143728,43962,1691521,211218,304107,638871,2211017,1359666,113969,1827934,1820735,1445361,279926,2205,93243,7199,10881930,18514026,,
1994:Q1,pct60to80,5425177,2218177,1690214,527962,3207000,517227,43367,132741,100242,32499,43037,27149,15888,414356,110403,128490,185339,1182111,382898,67031,1022803,1019113,766459,229353,771,22529,3691,4402373,19476691,,
1994:Q1,pct40to60,3559320,1442545,1095363,347182,2116775,446363,30206,66751,40443,26308,66670,43072,23598,233875,64388,59688,69617,783018,251586,44613,576878,574679,375446,185690,1123,12419,2199,2982442,19482566,,
1994:Q1,pct20to40,2265500,1046439,809117,237322,1219060,323384,24171,49068,35497,13571,8151,1783,6368,136722,44701,15445,34841,443097,108878,30601,308351,306854,181521,111099,651,13582,1497,1957149,19483038,,
1994:Q1,pct00to20,1101783,563842,447259,116583,537941,135199,7616,12258,7059,5199,7079,2234,4844,48396,13889,3388,12525,163104,119202,15284,141726,141257,72356,66402,264,2234,469,960057,19479478,,
1994:Q2,pct99to100,4763111,978640,708687,269952,3784471,296597,124686,579053,421385,157668,180982,152816,28167,1134626,59637,21841,178881,139995,1045083,23090,262287,260501,190506,11978,1491,56526,1787,4500824,977148,,
1994:Q2,pct80to99,12782708,4226448,3383980,842469,8556260,1025931,201108,578469,413544,164924,183807,140554,43253,1649481,210492,305661,652123,2245930,1389013,114245,1854706,1847559,1458162,293628,2892,92878,7146,10928002,18562255,,
1994:Q2,pct60to80,5488397,2256137,1718912,537225,3232260,511832,43467,141256,108314,32942,43744,26975,16769,414483,113877,127572,189694,1192056,386419,67860,1048422,1044642,781950,238459,1093,23140,3779,4439976,19528960,,
1994:Q2,pct40to60,3580238,1449708,1099428,350280,2130530,436495,29846,73411,44137,29274,63846,42072,21774,232078,64220,60762,74701,799523,250745,44902,590265,588087,382521,191817,1562,12187,2179,2989973,19533748,,
1994:Q2,pct20to40,2306803,1063901,823447,240454,1242902,322812,25505,53040,38752,14289,8231,1974,6257,139497,45355,14845,38352,450687,113630,30947,320323,318820,187705,115250,802,15062,1503,1986480,19534341,,
1994:Q2,pct00to20,1133180,575243,456009,119233,557937,135828,8245,16806,11691,5115,6768,2002,4766,47842,14304,3522,14157,165718,129254,15493,144966,144483,74271,67448,369,2395,483,988214,19531244,,
1994:Q3,pct99to100,4853309,985688,716384,269304,3867621,309433,125405,598339,429579,168760,185079,157180,27899,1158013,65726,22172,184451,136735,1058586,23682,265212,263314,191982,12836,1614,56883,1897,4588097,979734,,
1994:Q3,pct80to99,12924345,4252779,3394481,858298,8671566,1021212,206150,576354,412513,163841,181263,138723,42541,1677757,215123,311184,673443,2283102,1410820,115157,1881721,1874632,1471723,309584,3031,90294,7089,11042624,18611121,,
1994:Q3,pct60to80,5573616,2301118,1752681,548437,3272498,511902,44605,138572,106789,31783,44819,27160,17659,427107,118729,128497,197425,1203098,388628,69116,1077087,1073219,798375,249892,1239,23714,3868,4496529,19581860,,
1994:Q3,pct40to60,3625786,1472416,1114769,357647,2153370,432130,30139,76354,45162,31192,61054,41127,19927,234808,65025,62759,81050,816530,247932,45590,604310,602152,389573,198955,1731,11893,2158,3021477,19585639,,
1994:Q3,pct20to40,2362432,1091132,848692,242441,1271299,324716,27491,55422,40820,14603,8162,2021,6141,144356,46093,14440,42145,458378,118524,31571,333153,331643,193877,120374,775,16618,1509,2029279,19586350,,
1994:Q3,pct00to20,1163530,587022,466634,120387,576508,136491,8915,17405,12533,4873,6548,1862,4686,48726,15242,3692,15735,168413,139493,15849,147895,147398,76016,68313,402,2668,496,1015635,19583595,,
1994:Q4,pct99to100,4932064,994521,722362,272159,3937543,321096,129428,663665,481641,182024,189498,161900,27598,1130286,68981,22313,183388,133079,1071607,24201,270190,268180,193803,14913,2041,57424,2010,4661874,982364,,
