Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2019:Q3,GenX,31972175,10466325,8774179,1692146,21505851,2325767,317597,476593,476593,0,237540,215644,21896,6437705,548066,707789,2920651,3256011,3975580,302552,5924394,5912417,4314431,1422840,41539,133608,11977,26047781,34629081
2019:Q3,Millennial,7689595,4128576,3227614,900962,3561019,822150,60187,76975,76975,0,12065,11215,851,502822,153227,90727,525978,495786,657827,163276,3843326,3839854,2288937,1504135,35738,11043,3472,3846269,34890876
2019:Q4,Silent,18861851,4815611,4065003,750608,14046240,2086314,493232,991241,991241,0,191925,166409,25516,5708693,254259,31495,495729,1959198,1575713,258440,816620,811915,520939,189746,11374,89856,4705,18045231,15736407
2019:Q4,BabyBoom,64443833,14767791,12466064,2301727,49676042,5056758,1256978,2466276,2466276,0,550135,520875,29261,16056180,821961,1504979,4296901,11227628,5881587,556658,4686043,4669325,3162663,1008664,156570,341429,16718,59757790,42938029
2019:Q4,GenX,32785674,10448917,8749596,1699321,22336757,2462451,342993,478417,478417,0,226008,204701,21307,6745196,551050,750373,3125789,3433056,3911848,309578,5964715,5952849,4325411,1448645,47885,130909,11866,26820959,34657410
2019:Q4,Millennial,8323109,4210868,3291181,919686,4112241,917724,64653,102077,102077,0,13145,10641,2504,743920,158978,103563,603875,542842,689654,171810,3982298,3978692,2382307,1545136,38369,12878,3606,4340811,35526434
2020:Q1,Silent,17368474,4834585,4086559,748026,12533889,2105350,583035,950698,948072,2626,202984,179046,23938,4233965,250142,42003,419307,1878441,1613883,254083,783303,778275,506733,174761,14077,82704,5028,16585171,15397929
2020:Q1,BabyBoom,61316709,15165687,12848279,2317408,46151021,5232544,1505591,2401812,2394558,7254,660045,630575,29470,12748722,821950,1337511,3827389,11071560,5985931,557967,4639325,4621491,3117940,976878,161227,365447,17834,56677383,42840910
2020:Q1,GenX,31332271,10730606,9025765,1704840,20601665,2605743,434397,482367,480723,1644,215182,194379,20803,5142378,549514,748782,2642038,3597261,3873887,310117,5952754,5939809,4322577,1425729,63702,127801,12945,25379517,34689111
2020:Q1,Millennial,8444200,4488872,3549611,939261,3955328,1019736,75397,123689,123528,162,30614,26585,4030,386110,166230,111780,513886,608408,743364,176113,4089530,4085921,2485844,1535751,48181,16144,3609,4354671,36145753
