Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2023:Q3,age70plus,45863402,13165902,11266041,1899861,32697500,4284377,1372430,1996515,1996515,0,386562,364742,21820,13931721,558930,108532,933019,4048043,4527783,549588,1889857,1880306,1250677,420179,41415,168035,9552,43973545,26475731
2023:Q3,age55to69,65736844,18623754,16143541,2480212,47113091,4674141,1669487,2231045,2231045,0,504187,480403,23784,15222247,812851,1480275,4937857,8326854,6769885,484262,4919594,4904257,3238149,1120231,117774,428103,15337,60817250,35215392
2023:Q3,age40to54,36174610,14027136,12013285,2013851,22147475,3101853,501608,467261,467261,0,121894,108202,13692,5811764,503844,1002780,3124627,3745175,3439080,327590,6926656,6916475,5041118,1664761,109098,101497,10181,29247954,33335479
2023:Q3,ageunder40,14806004,7215152,5777701,1437451,7590853,1511522,113917,244542,244542,0,40308,26761,13547,2036104,166121,168844,817184,836511,1437606,218193,5223004,5219387,3405739,1722772,49111,41765,3618,9583000,37086718
2023:Q4,age70plus,47722621,13207873,11283429,1924444,34514748,4329177,1441202,2128087,2128087,0,403338,381567,21771,15345746,569673,97660,1019058,4178909,4434781,567116,1928887,1918962,1276271,432214,41812,168665,9925,45793734,26676973
2023:Q4,age55to69,67539891,18413102,15937325,2475777,49126789,4680654,1756867,2422032,2422032,0,510242,486731,23511,16616648,818076,1348133,5334671,8558675,6587223,493568,4948853,4933338,3252803,1136487,117792,426257,15515,62591038,35147574
2023:Q4,age40to54,36823098,13865291,11856412,2008879,22957806,3108234,529645,488118,488118,0,123257,109650,13607,6301460,506194,946191,3407808,3834051,3380317,332533,6974755,6964445,5072677,1681235,109226,101307,10310,29848343,33272381
2023:Q4,ageunder40,15022721,7166854,5719383,1447471,7855867,1520044,121029,238629,238629,0,41581,28124,13456,2252790,166532,159957,888518,858435,1385987,222367,5260523,5256901,3427649,1738290,49261,41700,3622,9762198,37083630
2024:Q1,age70plus,49731017,13584648,11626001,1958647,36146369,4418459,1470612,2104390,2104390,0,403010,381354,21656,16752160,588837,102666,1085062,4233843,4408846,578483,1969171,1958491,1300245,431331,42634,184280,10679,47761846,26925597
2024:Q1,age55to69,69747479,18851134,16357775,2493359,50896345,4749438,1785359,2355145,2355145,0,508436,485216,23220,18011929,833938,1395975,5632803,8614362,6509904,499057,4956014,4940022,3251736,1119373,119327,449586,15992,64791465,35211512
2024:Q1,age40to54,37850109,14083845,12062145,2021701,23766264,3163114,539189,481236,481236,0,122952,109394,13558,6797244,514524,968530,3623237,3859484,3360886,335866,6995169,6984511,5095730,1675138,111749,101894,10658,30854940,33360276
2024:Q1,ageunder40,15428053,7287409,5825557,1461852,8140644,1553283,123156,240683,240683,0,41141,27803,13338,2463497,167586,163334,940143,862770,1360605,224445,5250864,5247229,3423216,1730520,50345,43149,3635,10177189,37119238
2024:Q2,age70plus,50830120,14088095,12111690,1976406,36742025,4358456,1504327,2177896,2177896,0,397961,376494,21467,17133373,597608,105804,1108598,4276674,4492895,588433,2006141,1995401,1321785,438396,42123,193096,10740,48823980,27105894
2024:Q2,age55to69,70793952,19504994,17013956,2491038,51288958,4628077,1816759,2447584,2447584,0,502858,480049,22809,18249236,836650,1419233,5699320,8623853,6563150,502237,4976028,4960087,3259150,1123661,116572,460704,15941,65817924,35112526
2024:Q2,age40to54,38503121,14484953,12451891,2033062,24018168,3093052,553181,494157,494157,0,122507,108978,13530,6927376,519196,984945,3697311,3889193,3397472,339778,7056588,7045890,5149404,1685774,108015,102696,10698,31446534,33499459
2024:Q2,ageunder40,15672612,7488388,6020825,1467563,8184224,1500259,126218,237768,237768,0,40361,27136,13225,2511488,168211,165599,956106,867191,1384346,226676,5275360,5271719,3446195,1733023,48478,44024,3641,10397251,37176598
2024:Q3,age70plus,52454732,14081112,12084960,1996152,38373620,4375802,1571791,2278590,2278590,0,438061,416961,21100,18360483,610602,109745,1164954,4325384,4538161,600047,2027655,2017618,1337339,442743,41526,196009,10037,50427077,27240106
2024:Q3,age55to69,72398240,19328011,16831737,2496274,53070228,4614212,1904970,2597126,2597126,0,521217,498940,22277,19428477,845434,1453904,5943717,8672745,6580618,507808,4995400,4979997,3276375,1126593,113935,463094,15403,67402839,35045162
2024:Q3,age40to54,39248216,14452683,12408748,2043935,24795533,3096209,584164,511310,511310,0,127226,113789,13437,7373519,525547,1003883,3890849,3923912,3414755,344157,7117576,7107220,5194952,1704989,104191,103089,10356,32130640,33574767
2024:Q3,ageunder40,15918282,7467082,5990063,1477020,8451200,1499933,133679,231521,231521,0,43905,30852,13053,2702232,169177,168546,1002808,874329,1395372,229698,5324426,5320792,3476377,1753438,46667,44310,3635,10593856,37229237
2024:Q4,age70plus,53005673,14101379,12063919,2037460,38904294,4459733,1677266,2268871,2268871,0,310046,289228,20818,18667693,619143,107626,1176007,4392834,4610515,614560,2057718,2047570,1369490,437937,26920,213221,10148,50947955,27470333
2024:Q4,age55to69,72259323,19082664,16569496,2513168,53176660,4650090,2037251,2536436,2536436,0,446618,424906,21712,19504690,845338,1415879,5924425,8707042,6596279,512612,4947825,4932465,3280286,1095018,71219,485942,15360,67311498,34894745
2024:Q4,age40to54,39368041,14400922,12338407,2062515,24967118,3140633,630208,506381,506381,0,110517,97200,13317,7432536,527523,991506,3895586,3953974,3430129,348127,7085943,7075568,5241019,1681013,49697,103839,10375,32282098,33585438
2024:Q4,ageunder40,16007570,7457209,5959162,1498047,8550361,1532979,145310,234378,234378,0,31568,18669,12899,2734187,169909,166949,1006414,883176,1412293,233198,5310346,5306699,3504735,1734090,21818,46057,3647,10697224,37326628
2025:Q1,age70plus,53149094,14408311,12320895,2087416,38740783,4537443,1710856,2312086,2312086,0,329363,309012,20352,18345308,611107,106261,1152805,4414616,4599731,621208,2064770,2053302,1383525,439443,16326,214008,11467,51084325,27732372
2025:Q1,age55to69,72151297,19343109,16802402,2540707,52808188,4723788,2078473,2591807,2591807,0,459217,438032,21185,19115069,836965,1400296,5795187,8719159,6571529,516698,4930217,4913942,3290705,1093388,42575,487274,16276,67221080,35134893
2025:Q1,age40to54,39201118,14433638,12357198,2076440,24767481,3188525,642186,512540,512540,0,113224,100026,13198,7282466,523014,985624,3790396,3954497,3424894,350114,7082570,7071559,5256641,1685723,24922,104273,11012,32118548,33749681
2025:Q1,ageunder40,16045971,7549340,6012780,1536560,8496631,1566218,148583,234086,234086,0,33086,20365,12720,2673071,170171,166441,983334,885372,1401130,235141,5322709,5319016,3517229,1744753,10773,46261,3693,10723262,37601541
2025:Q2,age70plus,55379103,14827004,12679321,2147683,40552100,4557669,1735932,2360157,2360157,0,323421,303434,19986,19891688,619278,111902,1241523,4459916,4621849,628764,2100172,2088911,1404282,446334,9169,229126,11262,53278931,28031369
2025:Q2,age55to69,74735767,19840463,17252231,2588232,54895303,4716043,2100339,2647292,2647292,0,455554,434847,20707,20622734,842979,1455806,6201406,8761338,6571737,520074,4969886,4953743,3316657,1103408,23630,510048,16143,69765881,35324691
2025:Q2,age40to54,40342485,14683354,12575116,2108239,25659131,3179899,649095,519102,519102,0,112376,99278,13098,7819236,526476,1012015,4083951,3973356,3431385,352240,7123518,7112607,5299927,1694991,12375,105314,10911,33218968,33928434
2025:Q2,ageunder40,16505736,7706830,6134046,1572784,8798906,1557468,150213,232808,232808,0,32205,19665,12540,2905313,171081,170728,1055484,889391,1397654,236560,5352225,5348520,3543877,1751562,5277,47804,3705,11153511,37792277
2025:Q3,age70plus,57202439,14755066,12572231,2182836,42447372,4586724,1798742,2399939,2399939,0,323124,303852,19273,21432851,624979,116708,1307683,4492392,4729978,634250,2142352,2132396,1422547,450934,7393,251522,9956,55060087,28206948
2025:Q3,age55to69,76867771,19705370,17075295,2630075,57162401,4736641,2189054,2704045,2704045,0,455279,435334,19945,22179539,848038,1505114,6512900,8810081,6698419,523290,5039924,5024627,3349341,1111194,18985,545107,15297,71827847,35469591
2025:Q3,age40to54,41235292,14680108,12544398,2135710,26555184,3191407,677335,524788,524788,0,112182,99294,12888,8364671,528820,1033819,4306373,3990307,3471591,353891,7186216,7175930,5346903,1712864,9667,106496,10286,34049076,34035491
2025:Q3,ageunder40,16777434,7661727,6076360,1585367,9115707,1558415,156621,229710,229710,0,31718,19536,12182,3132961,170999,173667,1106208,890064,1428451,236895,5386058,5382379,3563029,1765334,4093,49924,3679,11391376,37777073
2025:Q4,age70plus,58243451,14754252,12523414,2230838,43489199,4635644,1905981,2442586,2442586,0,313268,294395,18872,22127192,628228,116007,1340375,4562928,4764667,652321,2197634,2186774,1445430,462007,6679,272658,10860,56045817,28423930
2025:Q4,age55to69,77201018,19470440,16813179,2657261,57730578,4724069,2317783,2731248,2731248,0,444677,425403,19274,22585855,841077,1479551,6582282,8839866,6654611,529558,5085399,5069666,3358603,1122204,16905,571954,15732,72115619,35251281
2025:Q4,age40to54,41713628,14731294,12561414,2169880,26982334,3212472,725821,529905,529905,0,110588,97843,12744,8577187,529086,1029676,4396848,4032834,3477967,359951,7269009,7258312,5403157,1738783,8583,107790,10697,34444619,34114973
2025:Q4,ageunder40,16808765,7611215,6015416,1595799,9197550,1559718,167267,225579,225579,0,30270,18388,11882,3200816,169854,171683,1119745,892763,1420332,239524,5411358,5407689,3576019,1776415,3600,51656,3669,11397406,37572352
2026:Q1,age70plus,59115798,15351093,13000696,2350398,43764705,4793079,1960277,2449028,2449028,0,353671,335202,18469,21887169,638447,116436,1334582,4647567,4921685,662763,2255947,2242661,1485788,467014,7004,282854,13286,56859851,28884063
2026:Q1,age55to69,76768415,19817728,17106661,2711067,56950687,4797755,2344729,2670418,2670418,0,461566,443073,18492,21883314,836884,1459006,6422577,8826730,6720836,526871,5083186,5066112,3363236,1107555,17371,577951,17074,71685229,35091606
2026:Q1,age40to54,41296967,14746758,12556283,2190475,26550210,3259709,731898,519219,519219,0,113915,101517,12397,8286094,524027,1015974,4261532,4007274,3474170,356396,7250597,7238967,5396557,1726661,8809,106941,11630,34046371,33814834
2026:Q1,ageunder40,16824632,7707565,6059702,1647863,9117067,1601962,169357,224928,224928,0,32963,21457,11505,3089572,168570,169913,1089586,889607,1442733,237876,5406463,5402789,3575403,1771801,3706,51879,3674,11418169,37343619
