signal,series,CAGR,Ann. Vol,Sharpe,Max Drawdown,Hit Rate,N Quarters
BEDI,strategy,0.03692116502966525,0.06622141788067483,0.5819536987105848,-0.06943903116489303,0.532608695652174,92
BEDI,benchmark,0.03284804481131043,0.07252255136945403,0.482697302400812,-0.21134524514415853,0.5869565217391305,92
BEDI,inverted_signal,-0.003928090539301876,0.028380470651946422,-0.12442919652623902,-0.1735771297144726,0.05434782608695652,92
Rotation signal,strategy,0.033619937987268145,0.05412297518863411,0.6392623310924368,-0.06530576406506872,0.34782608695652173,92
Rotation signal,benchmark,0.03284804481131043,0.07252255136945403,0.482697302400812,-0.21134524514415853,0.5869565217391305,92
Rotation signal,inverted_signal,-0.0007467862679398918,0.04834618693788785,0.008432115340122795,-0.22232771797096007,0.2391304347826087,92
