spec,index,CAGR,Ann. Vol,Sharpe,Max Drawdown,Hit Rate,N
Always-on,-,-0.032683107511147336,0.1538899787811751,-0.13952312434240893,-0.670201486037562,0.4444444444444444,108
Level,K,-0.021814723666762403,0.0921117339225804,-0.19314095068945192,-0.3897019625395286,0.3010752688172043,93
Level,BEDI,-0.020402359263288705,0.13623520670344597,-0.08445334986694776,-0.5631767865757087,0.411214953271028,107
Direction,K,-0.016534707650962654,0.08482366538777691,-0.15448944876120307,-0.4286759328375157,0.22580645161290322,93
Direction,BEDI,-0.021723827450204847,0.10629216326220044,-0.15351993593938387,-0.5752348223500248,0.2523364485981308,107
Difference,K,-0.016712922476315062,0.0852856602345688,-0.15532271170903092,-0.4286759328375157,0.22826086956521738,92
Difference,BEDI,-0.02192650586360867,0.10679412075434068,-0.1542398500487561,-0.5752348223500248,0.25471698113207547,106
