Date,z_rotation,z_k_shape,BEDI_equal_weight,BEDI_pca
1989-09-30,0.38179819490882344,-1.9620355938176828,-0.7901186994544297,1.657340765982669
1989-12-31,0.6104607231735406,-1.8694649618637287,-0.629502119345094,1.7535722687285462
1990-03-31,1.7318776542394965,-1.9928924711356666,-0.13050740844808506,2.6338102140138444
1990-06-30,1.773052300902094,-1.9003218391817134,-0.0636347691398097,2.597467764288563
1990-09-30,5.139124958974153,-2.054606225771635,1.5422593666012592,5.086736102766885
1990-12-31,3.884989378616486,-1.9928924711356675,0.9460484537404094,4.156290114973076
1991-03-31,2.146281145713915,-1.838608084545744,0.15383653058408542,2.8177421969938465
1991-06-30,2.4718813440455367,-1.8694649618637287,0.301208191090904,3.0697954123876094
1991-09-30,1.8781556619067814,-1.931178716499697,-0.026511527296457782,2.6936061707782626
1991-12-31,0.2630719632167968,-1.8077512072277602,-0.7723396220054817,1.464293106459571
1992-03-31,0.4028289651183884,-1.8694649618637298,-0.7333179983726708,1.6067544446180642
1992-06-30,0.5054723077554496,-1.931178716499697,-0.7128532043721236,1.7229724626359602
1992-09-30,0.22722162803845372,-2.08546310308962,-0.929120737525583,1.635315056127247
1992-12-31,-0.6166429259480267,-1.9003218391817134,-1.25848238256487,0.9076980644137165
1993-03-31,-0.9270944224942105,-1.6843236979558236,-1.305709060225017,0.5354419555918813
1993-06-30,-0.924587002993613,-1.6534668206378387,-1.2890269118157258,0.5153958617262445
1993-09-30,-1.1303767442411576,-1.5608961886838868,-1.3456364664625222,0.3044232185981172
1993-12-31,-1.3500136156899545,-1.3757549247759806,-1.3628842702329675,0.01820185421134645
1994-03-31,-0.7502607641573733,-1.2523274155040427,-1.001294089830708,0.3550147337748508
1994-06-30,-0.4009527015103586,-1.1597567835500895,-0.7803547425302241,0.5365555120023262
1994-09-30,-0.3288786700167041,-1.0980430289141212,-0.7134608494654127,0.5438813340233661
1994-12-31,0.17985975484038833,-0.9746155196421844,-0.39737788240089805,0.8163372952988274
1995-03-31,-0.21665414116756015,-0.9129017650062149,-0.5647779530868875,0.4923214162013327
1995-06-30,-0.38388845294165835,-0.8203311330522629,-0.6021097929969607,0.3086115787054388
1995-09-30,-0.8396279590458484,-0.6351898691443567,-0.7374089140951026,-0.1445595597021707
1995-12-31,-1.1177958617232755,-0.5734761145083894,-0.8456359881158324,-0.3848921843893942
1996-03-31,-0.9568204161835783,-0.5734761145083883,-0.7651482653459833,-0.2710653552437492
1996-06-30,-1.0410800979046018,-0.5426192371904036,-0.7918496675475026,-0.3524650547670933
1996-09-30,-0.7348547357805385,-0.6351898691443567,-0.6850223024624476,-0.07047370304449789
1996-12-31,-0.9684602205371164,-0.5734761145083872,-0.7709681675227518,-0.27929593983382167
1997-03-31,-0.7140910500258689,-0.6660467464623414,-0.6900688982441052,-0.03397245284715622
1997-06-30,-1.2942371073085686,-0.5426192371904036,-0.918428172249486,-0.5314740928215451
1997-09-30,-1.3745916381815326,-0.5426192371904036,-0.9586054376859681,-0.5882933265008817
1997-12-31,-1.203075224211797,-0.45004860523645157,-0.8265619147241243,-0.5324702286914461
1998-03-31,-1.5124797326905928,-0.3574779732824984,-0.9349788529865456,-0.8167095763598577
1998-06-30,-1.4202056914299552,-0.3266210959645137,-0.8734133936972345,-0.773281083254762
1998-09-30,-0.61943595404756,-0.6351898691443567,-0.6273129115959584,0.011139700195181325
1998-12-31,-0.8914744573386358,-0.3883348506004832,-0.6399046539695595,-0.35577342780808113
1999-03-31,-0.8613613503580003,-0.5117623598724199,-0.6865618551152102,-0.247203816868326
1999-06-30,-1.0492922428379148,-0.3574779732824984,-0.7033851080602066,-0.4891865613242537
1999-09-30,-0.8579779954886965,-0.5117623598724199,-0.6848701776805581,-0.2448114236970808
1999-12-31,-0.602354280814305,-0.29576421864652896,-0.449059249730417,-0.2167919120032401
2000-03-31,-0.44207325226569827,-0.2957642186465301,-0.3689187354561142,-0.10345610982096487
2000-06-30,-0.37454572836809097,-0.4191917279184668,-0.3968687281432789,0.03156948903492177
2000-09-30,-0.2185591691414735,-0.4809054825544352,-0.34973232584795433,0.18550685723359606
2000-12-31,0.15280315963279856,-0.6351898691443578,-0.24119335475577963,0.5571952141760531
2001-03-31,0.5054942982618914,-0.8511880103702466,-0.1728468560541776,0.959319260349605
2001-06-30,0.393440688352404,-0.7894742557342782,-0.19801678369093711,0.8364471785305985
2001-09-30,0.8797612893958893,-0.9746155196421844,-0.04742711512314757,1.3112424165458931
2001-12-31,0.5813825452520031,-0.8511880103702476,-0.13490273255912227,1.0129803544086733
2002-03-31,0.4171446631978172,-0.8820448876882324,-0.23245011224520762,0.9186657414782305
2002-06-30,0.23560859961308447,-0.9129017650062149,-0.3386465826965652,0.8121194670853404
2002-09-30,0.33022746973550715,-1.128899906232106,-0.39933621824829935,1.0317588621616316
2002-12-31,0.04764743024313328,-1.0671861515961365,-0.5097693606765016,0.7883063856130349
2003-03-31,0.0006317566764817477,-1.128899906232106,-0.5641340747778121,0.7986994984075791
2003-06-30,-0.2834124089272279,-0.8820448876882324,-0.5827286483077302,0.42329708517041736
2003-09-30,-0.4909890741841962,-0.8511880103702476,-0.6710885422772219,0.2546991103533367
2003-12-31,-0.7053052949197258,-0.6969036237803261,-0.701104459350026,-0.0059408786359696686
2004-03-31,-0.9140741761198784,-0.4809054825544352,-0.6974898293371568,-0.30629652061784335
2004-06-30,-1.1235899545970762,-0.5117623598724199,-0.8176761572347481,-0.43262744114686014
2004-09-30,-1.3654574654995628,-0.4191917279184668,-0.8923245967090148,-0.669110919848084
