series,CAGR,Ann. Vol,Sharpe,Max Drawdown,N
always_on,-0.032683107511147336,0.1538899787811751,-0.13952312434240893,-0.670201486037562,108
K_timed,-0.021814723666762403,0.0921117339225804,-0.19314095068945192,-0.3897019625395286,93
BEDI_timed,-0.020402359263288705,0.13623520670344597,-0.08445334986694776,-0.5631767865757087,107
