Date,Silent_wealth_share_pct,Silent_household_share_pct,Silent_concentration_ratio,BabyBoom_wealth_share_pct,BabyBoom_household_share_pct,BabyBoom_concentration_ratio,GenX_wealth_share_pct,GenX_household_share_pct,GenX_concentration_ratio,Millennial_wealth_share_pct,Millennial_household_share_pct,Millennial_concentration_ratio
1989-09-30,80.11318401394443,52.196649410217255,1.5348338431520596,19.5079361344079,42.2377793376079,0.46185989037161146,0.3788798516476697,5.5655712521748395,0.06807564479560227,0.0,0.0,
1989-12-31,79.79192699849582,52.091404947857825,1.5317676126870743,19.771541737330736,42.154850940812025,0.4690217447356458,0.43653126417344384,5.7537441113301515,0.07586907859072768,0.0,0.0,
1990-03-31,79.79805530872616,51.93718373267843,1.5364340068850886,19.73960502474819,42.08660072492566,0.4690235059316033,0.4623396665256373,5.9762155423959165,0.07736328504983629,0.0,0.0,
1990-06-30,79.66275128500648,51.73687617935477,1.5397673220323906,19.860423275780224,42.03206005970846,0.4725065401878372,0.4768254392133025,6.231063760936766,0.07652392232006586,0.0,0.0,
1990-09-30,79.93563939036702,51.49334473545662,1.5523489453060517,19.517457113930263,41.99027243855925,0.4648090136230594,0.5469034957027142,6.516382825984138,0.08392746563660002,0.0,0.0,
1990-12-31,79.36870467630064,51.20942155803392,1.5498848114571018,19.99698125312551,41.96029122882791,0.476569172126885,0.6343140705738497,6.830287213138164,0.09286784739501681,0.0,0.0,
1991-03-31,78.76074580484999,50.88791190002458,1.547729959122413,20.519857169399437,41.94117988162275,0.4892532167029131,0.7193970257505673,7.170908218352672,0.10032160555470475,0.0,0.0,
1991-06-30,78.78086975361404,50.53159301215254,1.5590418796943077,20.47036809659413,41.93201038278177,0.48817998254144584,0.7487621497918385,7.5363966050656925,0.09935280599332415,0.0,0.0,
1991-09-30,78.26459015603253,50.14321608259835,1.5608211094220856,20.911648913806093,41.93186719212424,0.49870540746474984,0.8237609301613902,7.924916725277413,0.10394568911164859,0.0,0.0,
1991-12-31,77.40973286344538,49.72550755396295,1.5567409297821455,21.622472683329992,41.9398419358342,0.5155592316349513,0.9677944532246259,8.334650510202849,0.1161169807948038,0.0,0.0,
1992-03-31,77.38463916336318,49.281170400538215,1.5702678839485928,21.65923245886151,41.95503455992745,0.5162487097448113,0.9561283777753106,8.763795039534333,0.10909981046591372,0.0,0.0,
1992-06-30,77.2141720348978,48.81288054894559,1.5818401038118146,21.85428989396521,41.976556415412084,0.5206308415985548,0.9315380711369968,9.210563035642327,0.10113801594236993,0.0,0.0,
1992-09-30,76.6172334915183,48.32329314066022,1.585513496948555,22.39754542124837,42.00352444614841,0.5332301447694862,0.9852210872333284,9.673182413191373,0.10185077104405442,0.0,0.0,
1992-12-31,75.48876671094227,47.81530497865404,1.5787574029830482,23.376476855330402,42.034888453169465,0.5561208252372035,1.1347564337273166,10.149806568176496,0.1118007940451998,0.0,0.0,
1993-03-31,74.97161154126744,47.29284411577767,1.5852633298544985,23.818863841818935,42.06890056228158,0.5661869819144885,1.2095246169136347,10.638255321940754,0.11369576874311935,0.0,0.0,
1993-06-30,74.39980711733469,46.760071433252385,1.5910969516703288,24.34601379877854,42.10365229537666,0.5782399500162112,1.2541790838867755,11.136276271370955,0.11262104614906228,0.0,0.0,
1993-09-30,73.72023408390758,46.22111237879825,1.5949472068033406,24.920143129853535,42.13725557112448,0.591404038827119,1.3596227862388781,11.641632050077275,0.11678970615033767,0.0,0.0,
1993-12-31,73.1447500571138,45.6800640162067,1.601240095267007,25.423126011247206,42.167840428187745,0.6029032018972621,1.432123931639003,12.152095555605555,0.11784995641993522,0.0,0.0,
1994-03-31,73.00555655690206,45.140987083339155,1.6172786922474562,25.590673901781823,42.19355519326976,0.6065066995317749,1.4037695413161093,12.665457723391082,0.11083448952054616,0.0,0.0,
1994-06-30,72.81302301340261,44.60790885380752,1.6322895397771517,25.83274920734607,42.21256921068009,0.6119681812878188,1.3542277792513184,13.179521935512389,0.10275242045026949,0.0,0.0,
1994-09-30,72.17091078819814,44.08482240417628,1.637092016080373,26.38979718818788,42.223069586191826,0.6250089689551637,1.4392920236139746,13.692108009631902,0.10511836618594338,0.0,0.0,
1994-12-31,71.94499146889368,43.57568347639048,1.6510352960470218,26.6366756424053,42.223267935781124,0.6308530093624675,1.4183328887010178,14.201048587828396,0.09987522258860937,0.0,0.0,
1995-03-31,71.05732483224632,43.08441164972119,1.6492583305986994,27.31813558417261,42.211394741699095,0.6471744359867365,1.6245395835810639,14.704193608579713,0.1104813787702826,0.0,0.0,
1995-06-30,70.10120973759236,42.614886111490755,1.6449934784335876,28.105087217833514,42.18570191423965,0.6662230552657162,1.7937030445741384,15.199411974269589,0.11801134462376695,0.0,0.0,
1995-09-30,69.40096241921006,42.170945336932874,1.6457056360657256,28.626367199867538,42.14446731947463,0.6792437779048525,1.9726703809224053,15.684587343592494,0.12577126434431093,0.0,0.0,
1995-12-31,68.66007223202732,41.75509134206049,1.6443521023474583,29.242896572618864,42.08685124324082,0.6948226277040693,2.0970311953538086,16.158057414698686,0.12978238296431463,0.0,0.0,
1996-03-31,68.10725571685606,41.364629993206776,1.6465094871643036,29.662237540587576,42.015454782890046,0.7059839693242337,2.2305067425563547,16.619915223903174,0.13420686643144752,0.0,0.0,
1996-06-30,67.74930719338175,40.99559505610915,1.6525996781033618,30.038330169711426,41.93370494663626,0.7163290295464572,2.212362636906826,17.070699997254582,0.12959999515325277,0.0,0.0,
1996-09-30,67.45472136473381,40.64404841958314,1.659645728899209,30.35449835645369,41.84499032854207,0.7254034023697498,2.1907802788124964,17.510961251874793,0.12510908152331973,0.0,0.0,
1996-12-31,66.80941124071937,40.30608499701275,1.6575514899467632,30.749317646138678,41.75265610999233,0.7364637489201481,2.4412711131419402,17.941258892994917,0.13607022381774578,0.0,0.0,
1997-03-31,66.41979535275799,39.977830275676155,1.6614157120270232,31.06517742634938,41.660009216214405,0.7456834026397327,2.5150272208926414,18.36216050810944,0.13696793576016875,0.0,0.0,
1997-06-30,65.15051322200492,39.65544599217027,1.6429146512402986,31.88099437102892,41.5703105977367,0.7669173963969537,2.9684924069661633,18.774243410093028,0.1581151550091389,0.0,0.0,
1997-09-30,64.28003008821068,39.335127666628836,1.634163504768401,32.438661962638385,41.48678274953641,0.7819035319869644,3.2813079491509365,19.178089583834744,0.17109670568630353,0.0,0.0,
1997-12-31,63.928741000236386,39.01310611094673,1.6386478128256123,32.74956359268141,41.41260605975479,0.7908114631913441,3.3216954070822027,19.574287829298477,0.1696968715311493,0.0,0.0,
1998-03-31,62.56207254604592,38.68564586114316,1.6171908508547055,33.610219011222455,41.35092256462448,0.8128045742799421,3.8277084427316277,19.963431574232363,0.191735996313991,0.0,0.0,
1998-06-30,62.09419509034614,38.349043205337665,1.619184988732743,34.041570062237994,41.30483585102599,0.8241545901553902,3.864234847415863,20.346120943636347,0.189924893207935,0.0,0.0,
1998-09-30,62.26945472521691,37.99962727995921,1.6386859341132924,34.28144212343002,41.277415393735545,0.8305132915040202,3.449103151353077,20.72295732630524,0.1664387518172836,0.0,0.0,
