Date,long_leg,short_leg,long_short
2013-02-28,0.009325717353507934,0.04562971300626656,-0.036303995652758624
2013-03-31,-0.053697994795246264,0.04012464133981006,-0.09382263613505631
2013-04-30,0.11354866400714232,0.012911521110682694,0.10063714289645963
2013-05-31,0.08722201728907057,0.014417072251655172,0.0728049450374154
2013-06-30,0.05044940990678326,-0.002764193523917019,0.05321360343070028
2013-07-31,0.0013847880729820129,0.05888260197163031,-0.057497813898648296
2013-08-31,-0.010154535117699325,-0.022055783474994012,0.011901248357294687
2013-09-30,0.04299741969286199,0.10136332883402527,-0.058365909141163276
2013-10-31,0.028984107208130116,0.05285329636051206,-0.023869189152381943
2013-11-30,0.038793385689621165,0.017998782694785186,0.02079460299483598
2013-12-31,-0.09731085180101526,-0.0013428829211201477,-0.09596796887989512
2014-01-31,-0.13874152562256964,-0.12335559477918082,-0.015385930843388823
2014-02-28,0.07443537993957876,0.06730955518715179,0.007125824752426971
2014-03-31,0.0383755298327114,0.010060489843874042,0.028315039988837356
2014-04-30,-0.07060412661626644,-0.04084627063244959,-0.029757855983816854
2014-05-31,0.015549900767001334,-0.00629352603132387,0.021843426798325204
2014-06-30,0.0805119116262842,0.057133466600397975,0.02337844502588622
2014-07-31,-0.04031096190590557,-0.023648315264057397,-0.016662646641848175
2014-08-31,0.05032566945437442,0.10232548586389345,-0.05199981640951903
2014-09-30,0.032736246825882075,0.019876587801943214,0.01285965902393886
2014-10-31,0.006055625122579444,0.04650683232552675,-0.04045120720294731
2014-11-30,0.07335959347288348,0.11244988329449557,-0.039090289821612084
2014-12-31,0.06732758624719329,0.010918809240249305,0.05640877700694398
2015-01-31,-0.008248205819954802,-0.03931819116169681,0.03106998534174201
2015-02-28,0.020898405242853448,0.08472135983937923,-0.06382295459652579
2015-03-31,0.019900026748151788,0.048897766118634944,-0.028997739370483156
2015-04-30,-0.02871373534172501,-0.06731679120269016,0.038603055860965144
2015-05-31,0.012218795000467053,-0.006651153281988597,0.01886994828245565
2015-06-30,0.03747629754499131,0.05891419865245715,-0.021437901107465844
2015-07-31,0.011246052356472535,0.024597279306558927,-0.013351226950086392
2015-08-31,-0.06738679718201886,-0.033571286019982625,-0.03381551116203623
2015-09-30,-0.017492013267238725,-0.06424314629878287,0.04675113303154415
2015-10-31,0.015054128226222829,-0.014769123546149298,0.029823251772372127
2015-11-30,-0.005041963534472527,-0.007604308927105796,0.0025623453926332694
2015-12-31,0.007488748157698599,0.04001143684103479,-0.03252268868333619
2016-01-31,-0.01698394124436451,0.09859312027292164,-0.11557706151728614
2016-02-29,-0.11590170502711487,0.01704514760842677,-0.13294685263554165
2016-03-31,0.09076834873001585,0.06412258029024547,0.026645768439770387
2016-04-30,0.012139850352209302,-0.014822228707633412,0.026962079059842714
2016-05-31,-0.029607436615916628,0.04744534354318086,-0.07705278015909749
2016-06-30,-0.0018307774416504775,0.07351185827072682,-0.07534263571237729
2016-07-31,0.06257270922552309,0.07326354845970351,-0.010690839234180419
2016-08-31,0.009306895530431226,-0.08446946124067875,0.09377635677110997
2016-09-30,-0.04831540979481641,-0.03080982497159599,-0.01750558482322042
2016-10-31,-0.04941618502284795,-0.04507242174251651,-0.004343763280331439
2016-11-30,0.0536508769508935,0.11746993344501915,-0.06381905649412564
2016-12-31,-0.03459527166777983,-0.04234581587484758,0.00775054420706775
2017-01-31,0.005540555122539326,-0.0021223738398845836,0.007662928962423909
2017-02-28,0.003780026499260769,0.010147503416645743,-0.006367476917384974
2017-03-31,0.08323295837299469,0.031488088158371785,0.0517448702146229
2017-04-30,0.008573782790746009,0.04785658621634601,-0.039282803425600005
2017-05-31,0.021058668267430303,-0.006991954397010902,0.028050622664441204
2017-06-30,0.0888314648845205,-0.06198553467740999,0.15081699956193048
2017-07-31,-0.005368935088636428,-0.007959905623595342,0.0025909705349589137
2017-08-31,-0.04441390204599736,0.02253945677493465,-0.06695335882093201
2017-09-30,0.125110876711314,0.11282535139633527,0.012285525314978715
2017-10-31,0.04184194728399844,0.005046334827053589,0.03679561245694485
2017-11-30,0.09974145593882518,0.1334400730913805,-0.03369861715255533
2017-12-31,0.02942633904207903,0.07710331125111543,-0.0476769722090364
2018-01-31,0.0483063895364253,0.035679870028716996,0.012626519507708302
2018-02-28,-0.03798381250635548,-0.041035442924397536,0.003051630418042059
2018-03-31,0.07370602732697829,0.01958090622066555,0.054125121106312735
2018-04-30,0.06432422681920755,0.013053034702934863,0.051271192116272686
2018-05-31,0.059465783009000496,-0.03576966241440425,0.09523544542340474
2018-06-30,0.09141064736537048,0.12892875890988056,-0.03751811154451008
2018-07-31,-0.00011580420028360905,0.02267892737986841,-0.02279473158015202
2018-08-31,0.11019119145743997,0.07488951553100201,0.03530167592643796
2018-09-30,0.007067544774298651,0.029989752718803265,-0.022922207944504613
2018-10-31,-0.07791810415596587,-0.0035343678023224134,-0.07438373635364345
2018-11-30,-0.013800908536225088,-0.0404208180914045,0.026619909555179413
2018-12-31,-0.07645776336355156,-0.015024881527197987,-0.06143288183635358
2019-01-31,0.1425643866496093,0.10297082374383959,0.03959356290576971
2019-02-28,0.08997095206438196,0.002343193305702496,0.08762775875867947
2019-03-31,-0.005685015668495353,0.007502365191524474,-0.013187380860019826
2019-04-30,0.03317329270950693,0.0848631275049272,-0.05168983479542026
2019-05-31,-0.11381825471176635,-0.06381837614072675,-0.0499998785710396
2019-06-30,0.14211473256129428,0.041341425960168786,0.10077330660112549
2019-07-31,0.03931112670103194,0.01040417610479385,0.028906950596238094
2019-08-31,-0.0801099796800194,0.06573259036327787,-0.14584257004329726
2019-09-30,0.07659545316675716,0.03888338082584353,0.03771207234091363
2019-10-31,-0.0005527564881879776,-0.013976328573580821,0.013423572085392844
2019-11-30,0.08175517316266814,0.005718668979926522,0.07603650418274162
2019-12-31,0.06048720273254164,0.014227051377072298,0.04626015135546935
2020-01-31,-0.0034825122813176177,-0.057160326981631135,0.05367781470031352
2020-02-29,-0.07807517296281148,-0.04926686072473896,-0.028808312238072523
2020-03-31,-0.27674850164904086,-0.16983194171692897,-0.10691655993211188
2020-04-30,0.21228576519631778,0.14642530711824575,0.06586045807807203
2020-05-31,0.2227852097918351,0.13812109557196414,0.08466411421987097
2020-06-30,-0.012633257231959205,-0.04365875491177955,0.031025497679820345
2020-07-31,0.03543667856862156,0.006780995873157969,0.02865568269546359
2020-08-31,0.11941655080610378,0.0319522792171754,0.08746427158892837
2020-09-30,-0.005836233125744439,0.04371643522721123,-0.049552668352955666
2020-10-31,-0.048262737596656446,-0.022388577014596133,-0.025874160582060313
2020-11-30,0.24903119268419877,0.16421344853644304,0.08481774414775572
2020-12-31,0.05303657756717821,0.08178884128971789,-0.02875226372253968
2021-01-31,-0.031211745975975848,-0.05399100134873003,0.02277925537275418
2021-02-28,0.10016051458387283,0.016826961174740095,0.08333355340913273
2021-03-31,0.04584846570431185,0.08952706163947491,-0.04367859593516306
2021-04-30,0.09455638440042402,0.06098103468760931,0.03357534971281471
