lag,CAGR,Ann. Vol,Sharpe,Max Drawdown,Hit Rate,N Quarters,switches
1,0.006765514318320509,0.0921632314335638,0.11838792261620132,-0.28542616570155965,0.27102803738317754,107,11
2,-0.009264574965103578,0.10053970847769021,-0.042318937807793715,-0.3523304093628421,0.24528301886792453,106,10
3,-0.02206756667910481,0.10174102919889141,-0.16794413281333653,-0.5443589493630245,0.21904761904761905,105,10
4,-0.0332995974877941,0.09295932678627111,-0.3151020803557413,-0.5880616352129522,0.22115384615384615,104,10
