,luxury_discount_qtr_return,K,dK
2013-03-31,-0.12672049521343742,0.8312540452063061,0.11965978361412366
2013-06-30,0.24360194128227564,1.052180803449878,0.220926758243572
2013-09-30,-0.10194554589984928,0.9221335710480073,-0.13004723240187077
2013-12-31,-0.09919620982966959,0.9883255215544965,0.06619195050648918
2014-03-31,0.01970830682806346,0.9563414020586908,-0.03198411949580571
2014-06-30,0.014613778937894617,0.6337653746381174,-0.32257602742057334
2014-09-30,-0.0558081830134578,0.6718705135138608,0.038105138875743405
2014-12-31,-0.025949112827333698,0.49489833990251525,-0.1769721736113456
2015-03-31,-0.06272642293611741,0.27686414290960965,-0.2180341969929056
2015-06-30,0.03551582394973862,0.45804849462599,0.18118435171638037
2015-09-30,-0.0021481178303601745,0.2014301360273206,-0.25661835859866944
2015-12-31,-0.0011164260426241857,-0.05811683985146632,-0.25954697587878695
2016-03-31,-0.21272522142124828,0.28404514900595307,0.3421619888574194
2016-06-30,-0.1235803499535093,0.23232337721590104,-0.051721771790052024
2016-09-30,0.06314047437293002,0.13298024438145387,-0.09934313283444718
2016-12-31,-0.06066121107500799,0.04039508844149817,-0.0925851559399557
2017-03-31,0.05305603691978389,0.06681434455873055,0.02641925611723238
2017-06-30,0.13662272158171485,0.2563558131459234,0.18954146858719284
2017-09-30,-0.053043194122964654,0.26754240027788384,0.011186587131960468
2017-12-31,-0.045908475922392,0.17568087695768086,-0.09186152332020298
2018-03-31,0.07069246978705546,0.41195921375735994,0.23627833679967908
2018-06-30,0.10819151370314772,-0.16224076244275315,-0.5741999762001131
2018-09-30,-0.01148819728178685,-0.1672912336250234,-0.005050471182270255
2018-12-31,-0.10812088490851102,-0.44403921547614916,-0.27674798185112576
2019-03-31,0.11577996640651511,-0.34411237777112946,0.0999268377050197
2019-06-30,-0.008319082819483015,-0.4157331936321505,-0.07162081586102104
2019-09-30,-0.08800828457993815,-0.44987906726007126,-0.034145873627920764
2019-12-31,0.1409265626675027,-0.43561290139648007,0.014266165863591196
2020-03-31,-0.08608705410015172,-0.673269295474978,-0.23765639407849798
2020-06-30,0.19196918580485312,-0.756914609464998,-0.08364531399001995
2020-09-30,0.0631953845097355,-0.7323516830557905,0.02456292640920754
2020-12-31,0.02636506982242759,-0.6694276151629323,0.0629240678928582
2021-03-31,0.05961471659939144,-0.48771309851605454,0.1817145166468777
2021-06-30,0.08698519471624233,-0.4807789308185384,0.006934167697516147
2021-09-30,0.08074268279090902,-1.1972144391357322,-0.7164355083171938
2021-12-31,-0.10859570695759457,-1.3066027234060247,-0.10938828427029246
2022-03-31,-0.007337553852570955,-1.512603029901255,-0.20600030649523027
2022-06-30,-0.057088783094101925,-2.049219209206442,-0.5366161793051869
2022-09-30,-0.002503773997749481,-1.8264882918810093,0.2227309173254326
2022-12-31,-0.10779707610216738,-1.9927883040641479,-0.1663000121831386
2023-03-31,0.0861277160747318,-1.3643038904663083,0.6284844135978396
2023-06-30,0.11089311868029461,-1.1019043973380998,0.26239949312820854
2023-09-30,0.06628914112963225,-0.07639811088963679,1.025506286448463
2023-12-31,-0.11746106177097826,-0.5297579044051125,-0.45335979351547573
2024-03-31,0.04102232741640455,-0.06522076566502051,0.464537138740092
2024-06-30,-0.09700066772001537,0.030168649549109694,0.0953894152141302
2024-09-30,0.2379845174474038,0.23241163488522767,0.20224298533611798
2024-12-31,0.07722207131628611,0.3113844090491004,0.07897277416387274
2025-03-31,-0.11246568472501572,0.13424724404138147,-0.17713716500771895
2025-06-30,-0.15444243766578225,-0.16268825575827506,-0.2969354997996565
2025-09-30,-0.024914628801532945,0.1941708816183502,0.3568591373766252
2025-12-31,-0.11359682366579771,-0.08662651920627758,-0.2807974008246278
