Date,luxury_discount_qtr_return
2013-03-31,-0.12672049521343742
2013-06-30,0.24360194128227564
2013-09-30,-0.10194554589984928
2013-12-31,-0.09919620982966959
2014-03-31,0.01970830682806346
2014-06-30,0.014613778937894617
2014-09-30,-0.0558081830134578
2014-12-31,-0.025949112827333698
2015-03-31,-0.06272642293611741
2015-06-30,0.03551582394973862
2015-09-30,-0.0021481178303601745
2015-12-31,-0.0011164260426241857
2016-03-31,-0.21272522142124828
2016-06-30,-0.1235803499535093
2016-09-30,0.06314047437293002
2016-12-31,-0.06066121107500799
2017-03-31,0.05305603691978389
2017-06-30,0.13662272158171485
2017-09-30,-0.053043194122964654
2017-12-31,-0.045908475922392
2018-03-31,0.07069246978705546
2018-06-30,0.10819151370314772
2018-09-30,-0.01148819728178685
2018-12-31,-0.10812088490851102
2019-03-31,0.11577996640651511
2019-06-30,-0.008319082819483015
2019-09-30,-0.08800828457993815
2019-12-31,0.1409265626675027
2020-03-31,-0.08608705410015172
2020-06-30,0.19196918580485312
2020-09-30,0.0631953845097355
2020-12-31,0.02636506982242759
2021-03-31,0.05961471659939144
2021-06-30,0.08698519471624233
2021-09-30,0.08074268279090902
2021-12-31,-0.10859570695759457
2022-03-31,-0.007337553852570955
2022-06-30,-0.057088783094101925
2022-09-30,-0.002503773997749481
2022-12-31,-0.10779707610216738
2023-03-31,0.0861277160747318
2023-06-30,0.11089311868029461
2023-09-30,0.06628914112963225
2023-12-31,-0.11746106177097826
2024-03-31,0.04102232741640455
2024-06-30,-0.09700066772001537
2024-09-30,0.2379845174474038
2024-12-31,0.07722207131628611
2025-03-31,-0.11246568472501572
2025-06-30,-0.15444243766578225
2025-09-30,-0.024914628801532945
2025-12-31,-0.11359682366579771
