lag,CAGR,Ann. Vol,Sharpe,Max Drawdown,Hit Rate,N Quarters,switches
Always-on,-0.023276882639334806,0.20279012135893776,-0.01763700894100461,-0.48689424345705423,0.4423076923076923,52,
1,-0.027921415163297936,0.1358196173017302,-0.14407138159184224,-0.4395831977806913,0.11764705882352941,51,12.0
2,-0.03610120518687465,0.08115641547858114,-0.40915399952639714,-0.29678148846431507,0.12,50,11.0
3,-0.06811745406966074,0.1057654809014644,-0.6051378677223549,-0.5478656461874765,0.10204081632653061,49,10.0
4,-0.022729287029587764,0.08713256404953854,-0.21892434415891535,-0.26916872756686505,0.125,48,10.0
3_inverted,0.04874716818166691,0.15306324701872948,0.38538221424902164,-0.25745629770582357,0.3469387755102041,49,10.0
4_inverted,0.008301106736991581,0.16934355408567348,0.13122713713917153,-0.3027165135256876,0.3333333333333333,48,10.0
