,z_wealth,z_income,z_consumer,K,K_pca,K_invvar
1997-12-31,-1.148580870803594,-1.6889238441599315,0.9311958181597296,-0.6354362989345987,-1.4436454631340683,-1.2829302559109097
1998-03-31,-1.1539090836954096,-2.015479675629118,0.6571400101728585,-0.837416249717223,-1.7032296026613865,-1.3794402578904557
1998-06-30,-1.1133393792465627,-2.1461020082167916,0.5442935010017905,-0.905049295487188,-1.7859692826756355,-1.3875408083510252
1998-09-30,-1.238589031263884,-1.982824092482199,0.14127025396227383,-1.0267142899279362,-1.8292816187189138,-1.4347926407265557
1998-12-31,-1.1247068916312055,-1.5583015115722572,-0.06830183449827557,-0.9171034125672461,-1.5505144744169357,-1.2371182270782275
1999-03-31,-1.171882712438667,-1.1990900969561522,0.5926562906465346,-0.5927721729160949,-1.2200900861657686,-1.1661722028387975
1999-06-30,-1.0958588283126038,-1.0031565980746406,1.543791153659798,-0.18507475757581546,-0.8699609473814449,-1.0502880494751086
1999-09-30,-1.124005315283011,-0.6112896003116169,0.5926562906465346,-0.3808795416493644,-0.8319841050521221,-0.9687901020969192
1999-12-31,-1.0759866317973674,-0.4153561014301051,0.6087772205281168,-0.29418850423311854,-0.683070811927672,-0.8799549695819394
2000-03-31,-1.0864357952554327,-0.3500449351362678,1.3019772054360887,-0.044834508318537226,-0.5093684175547741,-0.8640869413948412
2000-06-30,-1.1016484167844343,-0.31738935198934926,0.4798097814754688,-0.31307599576610495,-0.6613003708926942,-0.8720780685048837
2000-09-30,-1.1171066204838507,-0.3827005182831863,1.2536144157913471,-0.08206424099189664,-0.5548602507810597,-0.8954416426167356
2000-12-31,-1.0934377470693841,-0.5133228508708612,-0.10054369426143754,-0.5691014307338943,-0.8944077304478124,-0.9249546553911894
2001-03-31,-1.1253509509765758,-0.4480116845770236,0.10902839419911185,-0.4881114137848292,-0.8283352312423389,-0.9280666172850454
2001-06-30,-1.0713724181600313,-0.4806672677239423,0.4798097814754688,-0.3574099681361682,-0.7469238364560575,-0.8957537039999581
2001-09-30,-1.1056536429778447,-0.5133228508708612,-0.48744601141937666,-0.7021408350893609,-0.9779889327159796,-0.9365959908544521
2001-12-31,-1.0116200992737034,-0.3827005182831866,-0.48744601141937666,-0.6272555429920889,-0.8492880180427296,-0.833113386954479
2002-03-31,-1.0062513698214044,-0.18676701940167473,0.7538655894623422,-0.14638426658691228,-0.47710707937351954,-0.7655608545120637
2002-06-30,-0.9907980726940482,0.20509997836134847,0.15739118384385367,-0.20943563682961533,-0.3460186514513566,-0.6502270132130489
2002-09-30,-1.0337981631768354,0.5969669761243719,-0.45520415165621464,-0.2973451129028927,-0.24791170320383427,-0.5768036856858446
2002-12-31,-1.0088908208297551,0.6622781424182091,-0.24563206319566527,-0.1974149138690704,-0.1529124133922187,-0.5392936463724117
2003-03-31,-0.946364190089822,0.956178390740477,-0.13278555402459952,-0.040990451124648185,0.08334929753183981,-0.41216724887650547
2003-06-30,-0.8172946459321844,0.8908672244466391,-0.06830183449827786,0.001756914672058967,0.12153638210520099,-0.3375367041643887
2003-09-30,-0.8228722237440734,0.9561783907404765,0.9473167480413094,0.36020763834590414,0.36218736011654745,-0.315762579240021
2003-12-31,-0.7731755547508511,0.9561783907404765,1.5437911536598001,0.5755979965498085,0.5067541907218494,-0.2757504295041776
2004-03-31,-0.7148768036457916,0.9235228075935579,1.6888795225940256,0.632508508847264,0.5452370123112891,-0.242045237222185
2004-06-30,-0.7454641249214532,0.9561783907404765,1.2213725560281827,0.47736227394906866,0.4563933051629091,-0.25836235923251294
2004-09-30,-0.6875824730006767,0.7275893087120461,1.3825818548439925,0.47419623018512064,0.3766431905069574,-0.27921876371439813
2004-12-31,-0.6617895499396211,0.7929004750058835,0.5604144308833726,0.23050845198321165,0.26579410010421606,-0.24883021543434702
2005-03-31,-0.6632244797976777,0.7929004750058838,1.4148237146071523,0.5148332366051195,0.4359051334083145,-0.24343428697859945
2005-06-30,-0.6306952055888286,0.7602448918589649,0.6571400101728563,0.26222989881433084,0.28075714532488394,-0.23493742607618331
2005-09-30,-0.6637347473237305,0.8908672244466393,0.9311958181597296,0.3861094317608795,0.3995646116038979,-0.2202417732102103
2005-12-31,-0.6966248310187896,0.825556058152802,0.9150748882781498,0.3480020384707207,0.33918248926880806,-0.2620048247472242
2006-03-31,-0.5986012788268829,0.5969669761243719,1.5760330134229599,0.5247995702401497,0.3797944129133917,-0.25040694509517336
2006-06-30,-0.5990879426867309,0.5643113929774533,1.4793074341334762,0.48151029480806623,0.3399987683646191,-0.26054595927607704
2006-09-30,-0.5620624634360178,0.46634464353669736,1.5115492938966382,0.47194382466577256,0.30467292223567327,-0.26102575130804057
2006-12-31,-0.4949815297210038,0.5316558098305346,0.49593071135705097,0.17753499715552726,0.17616205487630726,-0.20257367191389594
2007-03-31,-0.4081614896569969,0.46634464353669736,1.914572540936155,0.6575852316052851,0.46360805278508577,-0.14797011259665305
2007-06-30,-0.33488281708097944,0.33572231094902305,0.8183493089886661,0.2730629342855699,0.20089124731014432,-0.14007756119725692
2007-09-30,-0.25669750933347807,0.27041114465518545,2.0919027696335446,0.7018721349850839,0.4549305585762761,-0.09273761463934244
2007-12-31,0.009868333118888604,-0.02348910366708163,1.092405116975537,0.35959478214244806,0.20891825034673733,0.008745830013807687
2008-03-31,0.2377828200288099,-0.15411143625475623,-0.019939044853533747,0.021244112973506642,0.021701617194683234,0.127069060911434
2008-06-30,0.2179973706304697,-0.12145585310783773,-0.6647762401167641,-0.18941157419804402,-0.09710064001570282,0.11714156254452923
2008-09-30,0.5947644218375634,-0.08880026996091935,-0.76150181940625,-0.08517922250986865,0.09557460695524803,0.39483601046170924
2008-12-31,0.8399708878519763,0.303066727802104,-2.0350552800511297,-0.29733922146568315,0.20824428764959796,0.6693354445248145
2009-03-31,1.3217989740186915,0.5643113929774533,-2.196264578866936,-0.10338473729026372,0.5829627473540018,1.0851038649990243
2009-06-30,1.2994993155318,0.5316558098305346,-1.3579762250247385,0.15772630011253205,0.7190209870290237,1.066397973515416
2009-09-30,1.4929700202525957,0.5969669761243718,-1.6481529628931895,0.14726134449459263,0.7999080694359743,1.220660767169822
2009-12-31,1.7305826599990666,0.4010334772428602,-0.5841715907088603,0.5158148488443556,1.012376417493277,1.3441465632043046
2010-03-31,1.8172924483561796,0.27041114465518545,-0.6647762401167641,0.4743091176315337,0.9595730586416273,1.3692746963304976
2010-06-30,1.9197153895479584,0.4010334772428602,-0.10054369426143754,0.740068390843127,1.2053648208153225,1.4829958283984523
2010-09-30,1.8265443410926385,0.499000226683616,-0.6486553102351842,0.5589630858470234,1.1089578902307922,1.4394588680294764
2010-12-31,2.3323540869450983,0.5969669761243719,0.12514932408069285,1.018156795716721,1.5818071661310167,1.8340793337780528
2011-03-31,2.3228053537226927,0.8908672244466396,0.834470238870246,1.3493809390131928,1.9006427432980364,1.9141609272170896
2011-06-30,2.2048739528660244,1.0868007233281511,0.6571400101728574,1.3162715621223444,1.9263913494314076,1.8829014561555477
2011-09-30,2.1379065877780805,1.2827342222096627,-1.067799487156283,0.78428044094382,1.6686364221314784,1.8764451524021446
